intitule;DE DIE 4 IANUARII;Le 4 Janvier
HYMNUS_laudes;hy_A solis ortus cárdine;
LB_matin;LB_Is 45, 22-23;
RB_matin;"R/. Notum fecit Dóminus, * Allelúia, allelúia. Notum.
V/. Salutáre suum, * Allelúia, allelúia. Glória Patri. Notum.";"R/. Le Seigneur a fait connaître * Alléluia, alléluia. 
V/. Son Salut. * Alléluia, alléluia. Gloire au Père. Alléluia, alléluia."
benedictus;Christus Deus noster, in quo divinitátis est plenitúdo, carnis nostræ infírma suscípiens, novus natus est homo, allelúia.;Le Christ notre Dieu, en qui est la plénitude de la divinité, a pris la faiblesse de notre chair, un nouvel homme est né. Alléluia.
oratio;Concéde nobis, omnípotens Deus, ut salutáre tuum, quod ad redemptiónem mundi luce nova cælórum procéssit, nostris semper innovándis córdibus oriátur. Per Dóminum.;
preces_matin;preces_VII;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
ant4;Erant Ioseph et María, mater Iesu, mirántes super iis, quæ dicebántur de illo.;Joseph et Marie s'émerveillaient de ce que l'on disait de lui.
LB_3;LB_Ier 31, 7-8a;
RB_3;"V/. Recordátus est Dóminus misericórdiæ suæ, allelúia.
R/. Et veritátis suæ dómui Israel, allelúia.";"V/. Le Seigneur s'est rappelé son amour, alléluia. 
R/. Sa fidélité en faveur d'Israël, alléluia."
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
ant5;María autem conservábat ómnia verba hæc, cónferens in corde suo.;"Marie quant à elle conservait toutes ces paroles, les méditant dans son c&oelig;ur."
LB_6;LB_Ier 31, 11-12a;
RB_6;"V/. Vidérunt omnes fines terræ, allelúia.
R/. Salutáre Dei nostri, allelúia.";"V/. Tous les confins de la terre ont vu, alléluia. 
R/. Le salut de notre Dieu, alléluia."
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant6;Vidérunt óculi mei salutáre tuum, quod parásti ante fáciem ómnium populórum.;Car mes yeux ont vu le salut, que vous avez préparé à la face de tous les peuples.
LB_9;LB_Zac 8, 7-8;
RB_9;"V/. Misericórdia et véritas obviavérunt sibi, allelúia.
R/. Iustítia et pax osculátæ sunt, allelúia.";"V/. Amour et vérité se rencontrent, alléluia.
R/. Justice et pax s'embrassent, alléluia."
HYMNUS_vesperas;hy_Christe, redémptor ómnium,;
LB_soir;LB_Rom 8, 3b-4;
RB_soir;"R/. Verbum caro factum est, * Allelúia, allelúia. Verbum.
V/. Et habitávit in nobis. * Allelúia, allelúia. Glória Patri. Verbum.";"R/. Le Verbe s'est fait chair * Alléluia, alléluia. 
V/. Et il a habité parmi nous. * Alléluia, alléluia. Gloire au Père. Le Verbe. "
magnificat;"Ego enim ex Deo procéssi et veni; neque a meípso veni, sed Pater meus ille misit me.";"Car c'est de Dieu que je suis sorti et que je viens ; je ne viens pas de moi-même ; mais lui m'a envoyé."
preces_soir;preces_VIII;
