intitule;DE DIE 6 IANUARII;Le 6 Janvier
HYMNUS_laudes;hy_A solis ortus cárdine;
LB_matin;LB_Is 61, 1-2a;
RB_matin;"R/. Notum fecit Dóminus, * Allelúia, allelúia. Notum.
V/. Salutáre suum, * Allelúia, allelúia. Glória Patri. Notum.";"R/. Le Seigneur a fait connaître * Alléluia, alléluia. 
V/. Son Salut. * Alléluia, alléluia. Gloire au Père. Alléluia, alléluia."
benedictus;Hic est qui venit per aquam et sánguinem, Iesus Christus, Dóminus noster. ;C'est lui qui est venu par eau et par sang: Jésus Christ, notre seigneur.
oratio;Fidéles tuos, quæsumus, Dómine, benígnus illúmina, et splendóre glóriæ tuæ corda eórum semper accénde, ut Salvatórem suum et incessánter agnóscant, et veráciter apprehéndant. Per Dóminum.;
preces_matin;preces_XI;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
ant4;Erant Ioseph et María, mater Iesu, mirántes super iis, quæ dicebántur de illo.;Joseph et Marie s'émerveillaient de ce que l'on disait de lui.
LB_3;LB_Is 11, 1-3a;
RB_3;"V/. Recordátus est Dóminus misericórdiæ suæ, allelúia.
R/. Et veritátis suæ dómui Israel, allelúia.";"V/. Le Seigneur s'est rappelé son amour, alléluia. 
R/. Sa fidélité en faveur d'Israël, alléluia."
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
ant5;María autem conservábat ómnia verba hæc, cónferens in corde suo.;"Marie quant à elle conservait toutes ces paroles, les méditant dans son c&oelig;ur."
LB_6;LB_Is 42, 1;
RB_6;"V/. Vidérunt omnes fines terræ, allelúia.
R/. Salutáre Dei nostri, allelúia.";"V/. Tous les confins de la terre ont vu, alléluia. 
R/. Le salut de notre Dieu, alléluia."
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant6;Vidérunt óculi mei salutáre tuum, quod parásti ante fáciem ómnium populórum.;Car mes yeux ont vu le salut, que vous avez préparé à la face de tous les peuples.
LB_9;LB_Is 49, 6;
RB_9;"V/. Misericórdia et véritas obviavérunt sibi, allelúia.
R/. Iustítia et pax osculátæ sunt, allelúia.";"V/. Amour et vérité se rencontrent, alléluia.
R/. Justice et pax s'embrassent, alléluia."
HYMNUS_vesperas;hy_Christe, redémptor ómnium,;
LB_soir;LB_Act 10, 37-38;
RB_soir;"R/. Verbum caro factum est, * Allelúia, allelúia. Verbum.
V/. Et habitávit in nobis. * Allelúia, allelúia. Glória Patri. Verbum.";"R/. Le Verbe s'est fait chair * Alléluia, alléluia. 
V/. Et il a habité parmi nous. * Alléluia, alléluia. Gloire au Père. Le Verbe. "
magnificat;Vox facta est de cælis: Tu es Fílius meus diléctus, in te complácui mihi.;Une voix vint des cieux : Tu es mon Fils bien-aimé, tu as toute ma faveur.
preces_soir;preces_XII;
