intitule;DE DIE 5 IANUARII;Le 5 Janvier
HYMNUS_laudes;hy_A solis ortus cárdine;
LB_matin;LB_Sap 7, 26-27;
RB_matin;"R/. Notum fecit Dóminus, * Allelúia, allelúia. Notum.
V/. Salutáre suum, * Allelúia, allelúia. Glória Patri. Notum.";"R/. Le Seigneur a fait connaître * Alléluia, alléluia. 
V/. Son Salut. * Alléluia, alléluia. Gloire au Père. Alléluia, alléluia."
benedictus;Visitávit et fecit redemptiónem Dóminus plebis suæ. ;Le Seigneur a visité et délivré son peuple.
oratio;Deus, qui pópulo tuo, Unigéniti tui nativitáte, redemptiónis efféctum mirabíliter inchoásti, ita, quæsumus, fídei fámulis tuis tríbue firmitátem, ut usque ad promíssum glóriæ præmium, ipso gubernánte, pervéniant. Per Dóminum.;
preces_matin;preces_IX;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
ant4;Erant Ioseph et María, mater Iesu, mirántes super iis, quæ dicebántur de illo.;Joseph et Marie s'émerveillaient de ce que l'on disait de lui.
LB_3;LB_Ez 20, 41-42a;
RB_3;"V/. Recordátus est Dóminus misericórdiæ suæ, allelúia.
R/. Et veritátis suæ dómui Israel, allelúia.";"V/. Le Seigneur s'est rappelé son amour, alléluia. 
R/. Sa fidélité en faveur d'Israël, alléluia."
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
ant5;María autem conservábat ómnia verba hæc, cónferens in corde suo.;"Marie quant à elle conservait toutes ces paroles, les méditant dans son c&oelig;ur."
LB_6;LB_Ez 34, 11-12;
RB_6;"V/. Vidérunt omnes fines terræ, allelúia.
R/. Salutáre Dei nostri, allelúia.";"V/. Tous les confins de la terre ont vu, alléluia. 
R/. Le salut de notre Dieu, alléluia."
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant6;Vidérunt óculi mei salutáre tuum, quod parásti ante fáciem ómnium populórum.;Car mes yeux ont vu le salut, que vous avez préparé à la face de tous les peuples.
LB_9;LB_Mic 2, 12;
RB_9;"V/. Misericórdia et véritas obviavérunt sibi, allelúia.
R/. Iustítia et pax osculátæ sunt, allelúia.";"V/. Amour et vérité se rencontrent, alléluia.
R/. Justice et pax s'embrassent, alléluia."
HYMNUS_vesperas;hy_Christe, redémptor ómnium,;
LB_soir;LB_1 Io 5, 20;
RB_soir;"R/. Verbum caro factum est, * Allelúia, allelúia. Verbum.
V/. Et habitávit in nobis. * Allelúia, allelúia. Glória Patri. Verbum.";"R/. Le Verbe s'est fait chair * Alléluia, alléluia. 
V/. Et il a habité parmi nous. * Alléluia, alléluia. Gloire au Père. Le Verbe. "
magnificat;Quem scripsit Móyses in lege et prophétæ, invénimus Iesum, fílium Ioseph, a Názareth.;Celui dont Moïse a écrit dans la Loi, ainsi que les prophètes, nous l'avons trouvé: Jésus, le fils de Joseph, de Nazareth.
preces_soir;preces_X;
