HYMNUS_laudes;hy_Tibi, Redémptor ómnium;;
ant1;Plangent eum quasi unigénitum, quia ínnocens Dóminus occísus est.;"Ils feront le deuil sur lui, comme on fait le deuil sur un fils unique; car le Seigneur innocent a été occis.";
ps1;ps63;;
ant2;A porta ínferi érue, Dómine, ánimam meam.;Des portes de l'enfer, sauve mon âme, Seigneur.;
ps2;AT23;;
ant3;Ego fui mórtuus, et ecce sum vivens in sæcula sæculórum, et hábeo claves mortis et inférni.;J'étais mort, et voici que je suis vivant dans les siècles des siècles, et je détiens les clés de la mort et des enfers.;
ps3;ps150;;
LB_matin;LB_Os 5, 15d - 6, 2;;
RB_matin;Christus factus est pro nobis oboediens usque ad mortem, mortem autem crucis. Propter quod et Deus exaltávit illum, et dedit illi nomen, quod est super omne nomen.;Le Christ s'est fait pour nous obéissant jusqu'à la mort, et la mort sur la croix. C'est pourquoi Dieu l'a exalté, et lui a donné le nom qui est au dessus de tout nom.;
benedictus;"Salvátor mundi, salva nos; qui per crucem et sánguinem tuum redemísti nos, auxiliáre nobis, te deprecámur, Deus noster.";Sauveur du monde, sauve-nous, toi qui par ta croix et par ton sang nous a rachetés, vient à notre secours, nous t'en supplions, notre Dieu.;
preces_matin;preces_II;;
oratio_laudes;Omnípotens sempitérne Deus, cuius Unigénitus ad inferióra terræ descéndit, unde et gloriósus ascéndit, concéde propítius, ut fidéles tui, cum eo consepúlti in baptísmate, ipso resurgénte, ad vitam profíciant sempitérnam. Qui tecum.;Dieu éternel et tout-puissant, dont le Fils unique est descendu aux profondeurs de la terre, d’où il est remonté glorieux, accorde à tes fidèles, ensevelis avec lui dans le baptême,  par sa Résurrection d’accéder à la vie éternelle.;
HYMNUS_tertiam;hy_Salva, Redémptor, plasma tuum nóbile;;
HYMNUS_sextam;hy_Crux, mundi benedíctio;;
HYMNUS_nonam;hy_Per crucem, Christe, quæsumus;;
ant4;Credo vidére bona Dómini in terra vivéntium.;Je crois que je verrai la bonté du Seigneur sur la terre des vivants.;
ant5; Dómine, abstraxísti ab ínferis ánimam meam.;Seigneur, retire des enfers mon âme.;
ant6;In pace factus est locus eius, et in Sion habitátio eius.;Dans la paix il s'est établi, et il a fait de Sion sa demeure.;
LB_3;LB_1 Io 1, 8-9;;
RB_3;"V/. Non relínques ánimam meam in inférno. 
R/. Nec dabis sanctum tuum vidére corruptiónem.";"V/. Ne laisse pas mon âme dans l'enfer
R/. Et ne laisse pas ton saint voir la corruption.";
oratio_3;Omnípotens sempitérne Deus, cuius Unigénitus ad inferióra terræ descéndit, unde et gloriósus ascéndit, concéde propítius, ut fidéles tui, cum eo consepúlti in baptísmate, ipso resurgénte, ad vitam profíciant sempitérnam. Qui tecum.;Dieu éternel et tout-puissant, dont le Fils unique est descendu aux profondeurs de la terre, d’où il est remonté glorieux, accorde à tes fidèles, ensevelis avec lui dans le baptême,  par sa Résurrection d’accéder à la vie éternelle.;
LB_6;LB_1 Io 2, 1b-2;;
RB_6;"V/. Le Seigneur fait mourir et vivre.
R/. Il fait descendre aux enfers et il en ramène.";"V/. Dóminus mortíficat, et vivíficat.
R/. Dedúcit ad ínferos, et redúcit.";
oratio_6;Omnípotens sempitérne Deus, cuius Unigénitus ad inferióra terræ descéndit, unde et gloriósus ascéndit, concéde propítius, ut fidéles tui, cum eo consepúlti in baptísmate, ipso resurgénte, ad vitam profíciant sempitérnam. Qui tecum.;Dieu éternel et tout-puissant, dont le Fils unique est descendu aux profondeurs de la terre, d’où il est remonté glorieux, accorde à tes fidèles, ensevelis avec lui dans le baptême,  par sa Résurrection d’accéder à la vie éternelle.;
LB_9;LB_1 Io 2, 8b-10;;
RB_9;"V/. Sepúlto Dómino, signavérunt monuméntum.
R/. Ponéntes mílites qui custodírent illud.";"V/. Une fois le Seigneur ensevei dans le tombeau, ils y mirent les scellés.
R/. En plaçant des soldats pour le garder.";ps 142,3
oratio_9;Omnípotens sempitérne Deus, cuius Unigénitus ad inferióra terræ descéndit, unde et gloriósus ascéndit, concéde propítius, ut fidéles tui, cum eo consepúlti in baptísmate, ipso resurgénte, ad vitam profíciant sempitérnam. Qui tecum.;Dieu éternel et tout-puissant, dont le Fils unique est descendu aux profondeurs de la terre, d’où il est remonté glorieux, accorde à tes fidèles, ensevelis avec lui dans le baptême,  par sa Résurrection d’accéder à la vie éternelle.;
HYMNUS_vesperas;hy_Auctor salútis únice;;
ant7;"O mors, ero mors tua; morsus tuus ero, inférne.";;Lam. 1,18
ant8;Sicut fuit Ionas in ventre ceti tribus diébus et tribus nóctibus, ita erit Fílius hóminis in corde terræ.;;
ant9;Sólvite templum hoc, dicit Dóminus, et post tríduum reædificábo illud. Hoc autem dicébat de templo córporis sui.;;
LB_soir;LB_1 Petr 1, 18-21;;
RB_soir;Christus factus est pro nobis oboediens usque ad mortem, mortem autem crucis. Propter quod et Deus exaltávit illum, et dedit illi nomen, quod est super omne nomen.;Le Christ s'est fait pour nous obéissant jusqu'à la mort, et la mort sur la croix. C'est pourquoi Dieu l'a exalté, et lui a donné le nom qui est au dessus de tout nom.;
magnificat;Nunc clarificátus est Fílius hóminis, et Deus clarificátus est in eo, et contínuo clarificábit illum.;;
oratio_vesperas;Omnípotens sempitérne Deus, cuius Unigénitus ad inferióra terræ descéndit, unde et gloriósus ascéndit, concéde propítius, ut fidéles tui, cum eo consepúlti in baptísmate, ipso resurgénte, ad vitam profíciant sempitérnam. Qui tecum.;Dieu éternel et tout-puissant, dont le Fils unique est descendu aux profondeurs de la terre, d’où il est remonté glorieux, accorde à tes fidèles, ensevelis avec lui dans le baptême,  par sa Résurrection d’accéder à la vie éternelle.;
preces_soir;preces_III;;
