HYMNUS_laudes;hy_En acétum, fel, arúndo;;
ant1;"Discérne causam meam, Dómine; ab hómine iníquo et dolóso érue me.";"Défends ma cause, Seigneur; délivre-moi de l'homme de fraude et d'iniquité.";Ps 42,1
ant2;Iudicásti, Dómine, causam ánimæ meæ, defénsor vitæ meæ, Dómine Deus meus.;Seigneur tu as pris ma défense, tu m'a sauvé la vie, Seigneur mon Dieu.;Lam 3,58
ant3;Iustificábit iustus servus meus multos, et iniquitátes eórum ipse portábit.;Le juste, mon Serviteur, justifiera beaucoup d'hommes, et lui-même se chargera de leurs iniquités. ;Is 53,11
LB_matin;LB_Zac 12, 10-11a;;
RB_matin;"R/. Redemísti nos, Dómine, * In sánguine tuo. Redemísti. 
V/. Ex omni tribu et lingua et pópulo et natióne.* In sánguine tuo. Glória Patri. Redemísti.";"R/. Tu nous nous rachetés, Seigneur, * dans ton sang. Tu nous as. 
V/. De toute tribu, langue et nation.* Dans ton sang. Gloire au Père. Tu nous as.";
benedictus;Clarífica me, Pater, apud temetípsum, claritáte quam hábui, priúsquam mundus fíeret.;Père, glorifie-moi auprès de toi, de la gloire que j'avais auprès de toi, avant que le monde fût.;
preces_matin;preces_XI;;
oratio_laudes;Omnípotens sempitérne Deus, da nobis ita domínicæ passiónis sacraménta perágere, ut indulgéntiam percípere mereámur. Per Dóminum.;Dieu tout-puissant et éternel,  donne-nous de célébrer les  mystères de la Passion du Seigneur, de telle sorte que nous méritions la rémission de nos péchés.;
HYMNUS_tertiam;hy_Celsæ salútis gáudia;;
HYMNUS_sextam;hy_Celsæ salútis gáudia;;
HYMNUS_nonam;hy_Celsæ salútis gáudia;;
ant4;Ante diem festum Paschæ, sciens Iesus quia venit hora eius, cum dilexísset suos, in finem diléxit eos.;Avant la fête de Pâque, Jésus, sachant que son heure était venue, après avoir aimé les siens, les aima jusqu'à la fin. ;Jn 13,1
ant5;Sicut novit me Pater, et ego agnósco Patrem, et ánimam meam pono pro óvibus meis.;Comme mon Père me connaît, et que je connais mon Père, et je donne ma vie pour mes brebis. ;Jn 10,15
ant6;"Mihi vívere Christus est, et mori lucrum; gloriári me opórtet in cruce Dómini mei Iesu Christi.";Pour moi, vivre c'est le Christ, et la mort m'est un gain. Je me glorifie dans la croix de mon Seigneur Jésus-Christ.;Phlp 1,21, Gal 6,14
LB_3;LB_1 Cor 1, 18-19;;
RB_3;"V/. Oblátus est, quia ipse vóluit. 
R/. Et non apéruit os suum.";"V/. Maltraité, il s'humilie.
R/. Et lui n'ouvre pas la bouche.";
oratio_3;Omnípotens sempitérne Deus, da nobis ita domínicæ passiónis sacraménta perágere, ut indulgéntiam percípere mereámur. Per Dóminum.;Dieu tout-puissant et éternel,  donne-nous de célébrer les  mystères de la Passion du Seigneur, de telle sorte que nous méritions la rémission de nos péchés.;
LB_6;LB_1 Cor 1, 22-24;;
RB_6;"V/. Vere languóres nostros ipse tulit. 
R/. Et iniquitátes nostras ipse portávit.";"V/. Vraiment c'était nos maladies qu'il portait,
R/. Et nos iniquités dont il s'était chargé.";
oratio_6;Omnípotens sempitérne Deus, da nobis ita domínicæ passiónis sacraménta perágere, ut indulgéntiam percípere mereámur. Per Dóminum.;Dieu tout-puissant et éternel,  donne-nous de célébrer les  mystères de la Passion du Seigneur, de telle sorte que nous méritions la rémission de nos péchés.;
LB_9;LB_1 Cor 1, 25. 27a;;
RB_9;"V/. Adorémus crucis signáculum. 
R/. Per quod salútis súmpsimus sacraméntum.";"V/. Adorons le sceau de la croix. 
R/. Par le mystère duquel nous obtenons le salut.";
oratio_9;Omnípotens sempitérne Deus, da nobis ita domínicæ passiónis sacraménta perágere, ut indulgéntiam percípere mereámur. Per Dóminum.;Dieu tout-puissant et éternel,  donne-nous de célébrer les  mystères de la Passion du Seigneur, de telle sorte que nous méritions la rémission de nos péchés.;
HYMNUS_vesperas;hy_Vexílla regis pródeunt;;
ant7;Contumélias et terróres passus sum ab eis, et Dóminus mecum est tamquam bellátor fortis.;J'ai subi de leur part les les injures et les menaces, mais le Seigneur est pour moi un guerrier fort.;
ant8;Líbera me, Dómine, et pone me iuxta te, et cuiúsvis manus pugnet contra me.;O Dieu, fais-toi auprès de toi-même ma caution: quel autre voudrait me frapper dans la main.;
ant9;Occísus es, Dómine, et redemísti nos Deo in sánguine tuo.;Tu as été immolé, Seigneur et tu nous as rachetés pour Dieu, dans ton sang.;Apc 5,9
LB_soir;LB_1 Cor 1, 27b-30;;
RB_soir;"R/. Adorámus te, Christe, * Et benedícimus tibi. Adorámus. 
V/. Quia per crucem tuam redemísti mundum. *Et benedícimus tibi. Glória Patri. Adorámus.";"R/. Nous t'adorons, ô Christ * Et nous te bénissons. Nous t'adorons. 
V/. Car par ta croix tu a racheté le monde. * Et nous te bénissons. Gloire au Père. Nous t'adorons.";
magnificat;Potestátem hábeo ponéndi ánimam meam, et íterum suméndi eam.;J'ai le pouvoir de donner ma vie, et le pouvoir de la reprendre.;
oratio_vesperas;Omnípotens sempitérne Deus, da nobis ita domínicæ passiónis sacraménta perágere, ut indulgéntiam percípere mereámur. Per Dóminum.;Dieu tout-puissant et éternel,  donne-nous de célébrer les  mystères de la Passion du Seigneur, de telle sorte que nous méritions la rémission de nos péchés.;
preces_soir;preces_XII
