jour;Die 5 februarii;Le 5 février
intitule;S. AGATHÆ, VIRGINIS ET MARTYRIS;S. AGATHE, VIERGE ET MARTYRE
rang;Memoria;Mémoire
HYMNUS_laudes;hy_O castitátis sígnifer;
LB_matin;LB_2 Cor 1, 3-5;
RB_matin;"R/. Fortitúdo mea * Et laus mea Dóminus. Fortitúdo. 
V/. Et factus est mihi in salútem. * Et laus mea Dóminus. Glória Patri. Fortitúdo.";"R/. Ma force * et mon chant, c’est le Seigneur. Ma force.
V/. Il s’est fait pour moi le salut. * et mon chant c'est le Seigneur. Gloire au Père. Ma force."
benedictus;Agatha lætíssime et gloriánter ibat ad cárcerem, quasi ad épulas invitáta, et agónem suum Dómino précibus commendábat.; Agathe alla en prison avec grande joie et exultation, comme une invitée à la place d'honneur parce qu'elle s'était recommandée auprès de Dieu dans la prière.
preces_matin;;
oratio;Indulgéntiam nobis, quæsumus, Dómine, beáta Agatha virgo et martyr implóret, quæ tibi grata semper éxstitit et virtúte martyrii et mérito castitátis et tuae professione virtutis. Per Dóminum.;Accorde-nous, Seigneur, que l'imploration de la bienheureuse Agathe, Vierge et Martyre qui trouvait toujours grâce auprès de toi par les mérites de sa chasteté et le courage de son martyre, nous obtienne le pardon.
HYMNUS_vepres;hy_Vírginis Proles opiféxque Matris;
LB_soir;LB_1 Petr 4, 13-14;
RB_soir;"R/. Probásti nos, Deus, * Et eduxísti nos in refrigérium. Probásti. 
V/. Igne nos examinásti, sicut examinátur argéntum. * Et eduxísti nos in refrigérium. Glória Patri. Probásti.";"R/. Tu nous a éprouvés, ô Dieu, * Et tu nous en as tirés pour nous mettre en un lieu de rafraîchissement. Tu nous as. 
V/. Tu nous as fait passer par le feu, comme on y fait passer l'argent. * Et tu nous en as tirés pour nous mettre en un lieu de rafraîchissement. Gloire au Père. Tu nous as."
magnificat;"Dómine Iesu Christe, magíster bone, grátias ago tibi, qui me fecísti víncere torménta carníficum; iube me, Dómine, ad tuam immarcescíbilem glóriam felíciter perveníre.";Seigneur-Jésus Christ, bon Maître, je te rends grâces de m'avoir fait triompher des tortures et des bourreaux. Ordonne, Seigneur, que je parvienne heureusement à ta gloire qui ne flétrit pas.
preces_soir;;
