jour;Die 13 iunii;Le 13 juin
intitule;S. ANTONII DE PADOVA, PRESBYTERI ET ECCLESIÆ DOCTORIS;S. ANTOINE DE PADOUE, PRETRE ET DOCTEUR DE L'EGLISE
rang;Memoria;Mémoire
ant_invit; Fontem sapiéntiæ, Dóminum, veníte, adorémus.;Source de Sagesse, le Seigneur, venez, adorons.
HYMNUS_laudes;hy_Doctor ætérnus cóleris piúsque;
LB_matin;LB_Sap 7, 13-14;
RB_matin;"R/. Sapiéntiam sanctórum * Narrent pópuli. Sapiéntiam. 
V/. Et laudes eórum núntiet Ecclésia. * Narrent pópuli. Glória Patri. Sapiéntiam.
";"R/. La sagesse des saints * est narrée par le peuple.La Sagesse. 
V/. Et leurs louanges sont annoncées dans l'Eglise. * Par le peuple. Gloire au Père. La sagesse.
"
benedictus;Qui docti fúerint, fulgébunt quasi splendor firmaménti, et qui ad iustítiam erúdiunt multos, quasi stellæ in perpétuas æternitátes.;Ceux qui furent doctes, brillent comme la splendeur du firmament, et ceux qui enseignèrent la justice à la multitude, sont comme des étoiles dans l'éternité perpétuelle.
oratio;Omnípotens sempitérne Deus, qui pópulo tuo beátum Antónium prædicatórem insígnem dedísti, eúmque in necessitátibus intercessórem, concéde, ut, eius auxílio, christiánæ vitæ documénta sectántes, in ómnibus adversitátibus te subveniéntem sentiámus. Per Dóminum.;Dieu éternel et tout puissant, qui as donné à ton peuple le bienheureux Antoine, prédicateur insigne, et intercesseur dans une époque nécessiteuse, accorde-nous qu'avec son aide, en suivant son exemple de vie chrétienne, nous puissions sentir ta présence face à toute adversité.
HYMNUS_vepres;hy_Ætérne sol, qui lúmine;
LB_soir;LB_Iac 3, 17-18;
RB_soir;"R/. In médio Ecclésiæ * Apéruit os eius. In médio. 
V/. Et implévit eum Dóminus spíritu sapiéntiæ et intelléctus. * Apéruit os eius. Glória Patri. In médio.";"R/. Au milieu de l'Eglise * il leur a ouvert la bouche. Au milieu. 
V/. Et le Seigneur le sa rempli de l'Esprit de sagesse et d'intelligence. * il leur a ouvert la bouhce. Gloire au Père. Au milieu."
magnificat;O doctor óptime, Ecclésiæ sanctæ lumen, beáte N., divínæ legis amátor, deprecáre pro nobis Fílium Dei.;O docteur admirable, lumière de la sainte Eglise, bienheureux Antoine, amant de la loi divine, prie pour nous le Fils de Dieu.
