intitule;Dominica III per annum;"III° dimanche ""dans l'année"""
pmagnificat_A;Dicit Dóminus: Pæniténtiam ágite: appropinquávit enim regnum cælórum.;
pmagnificat_B;Venit Iesus in Galilæam prædicans Evangélium Dei, et dicens: Implétum est tempus et appropinquávit regnum Dei: pænitémini et crédite Evangélio.;
pmagnificat_C;Venit Iesus in virtúte Spíritus, et docébat die sábbati in synagógis, et magnificabátur ab ómnibus.;Jésus vint avec la puissance de l'Esprit et il enseignait dans les synagogues, et tous publiaient ses louanges. 
oratio;Omnípotens sempitérne Deus, dírige actus nostros in beneplácito tuo, ut in nómine dilécti Fílii tui mereámur bonis opéribus abundáre. Per Dóminum.;Dieu éternel et tout-puissant, daigne diriger nos actions selon ton bon plaisir, afin qu’au nom de ton Fils bien-aimé, nous puissions fructifier en bonnes œuvres.
benedictus_A;Ambulans iuxta mare Galilææ vidit duos fratres, mitténtes retes in mare, et vocávit eos. Illi autem contínuo, relíctis rétibus, secúti sunt eum. ;
benedictus_B;"Veníte post me, dicit Dóminus; fáciam vos fíeri piscatóres hóminum.";
benedictus_C;Spíritus Dómini super me, evangelizáre paupéribus misit me.;L'Esprit du Seigneur est sur moi, il m'a envoyé évangéliser les pauvres.
2magnificat_A;Prædicábat Iesus Evangélium regni, et sanábat omnem infirmitátem in pópulo.;
2magnificat_B;Relíctis rétibus suis, secúti sunt Dóminum et Redemptórem, allelúia.;
2magnificat_C;Cum plicuísset librum, coepit Iesus dícere ad illos: Hódie impléta est hæc Scriptúra in áuribus vestris.;"Ayant roulé le livre, il se mit à dire à leur adresse : ""Aujourd'hui, cette parole de l'Ecriture que vous venez d'entendre est accomplie."" "
