jour;Die 26 iulii;Le 26 juillet
intitule;SS. IOACHIM ET ANNÆ, PARENTUM BEATÆ MARIÆ VIRGINIS;S. JOACHIM ET ANNE, PARENTS DE LA BIENHEUREUSE VIERGE MARIE.
rang;Memoria;Mémoire
ant_invit;Mirábilem Deum in sanctis suis, veníte adorémus.;Les merveilles de Dieu dans ses saints, venez adorons.
HYMNUS_laudes;hy_Nocti succédit lúcifer;
LB_matin;LB_Is 55, 3;
RB_matin;"R/. Per víscera misericórdiæ suæ, * Visitávit nos Dóminus. Per víscera.
V/. Ex sémine David edúxit salvatórem Iesum. * Visitávit. Glória Patri. Per víscera.";"R/. Par les entrailles de sa miséricorde, * Le Seigneur nous a visités. Par les entrailles.
V/. De la descendance de David il a suscité le rédempteur Jésus. * Le Seigneur. Gloire au Père. Par les entrailles."
benedictus;Benedíctus Dóminus Deus Israel, quia eréxit cornu salútis nobis in domo David púeri sui.;Béni soit le Seigneur, le Dieu d'Israël, car il nous a suscité un puissant sauveur dans la maison de David, son serviteur
oratio;Dómine, Deus patrum nostrórum, qui beátis Ióachim et Annæ hanc grátiam contulísti, ut ex eis incarnáti Fílii tui Mater nascerétur, utriúsque précibus concéde, ut salútem tuo promíssam pópulo consequámur. Per Dóminum.;Seigneur, Dieu de nos Pères, tu as fait la grâce à saint Joachim et à sainte Anne d'être ceux dont naîtrait la Mère de ton Fils incarné, à leur commune prière, accorde-nous le slaut que tu as promis à ton peuple.
HYMNUS_vepres;hy_Dum tuas festo, pater o colénde;
LB_soir;LB_Rom 9, 4-5;
RB_soir;"R/. Suscépit Israel púerum suum, * Recordátus misericórdiæ suæ. Suscépit.
V/. Sicut locútus est ad patres nostros. * Recordátus misericórdiæ suæ. Glória Patri. Suscépit.";"R/. Il relève Israël son enfant, * Il se souvient de sa miséricorde. Il relève.
V/. Comme il l'avait annoncé à nos pères. * Il se souvient de sa miséricorde. Gloire au Père. Il relève."
magnificat;Inclita stirps Iesse virgam prodúxit amoenam, de qua procéssit flos miro plenus odóre.;Du rameau illustre de Jessé a poussé une belle tige, sur laquelle est éclose une fleur au parfum délicieux.
