Psalmus 71 (72);Psaume 71 (72)
Regia Messiae potestas;Le pouvoir royal du Messie
Apertis thesauris suis, obtulerunt ei munera : aurum et tus et myrrham (Mt 2, 11);Ouvrant leurs coffret, les mages lui offrirent en présent de l'or, de l'encens et de la myrrhe.
;
"Deus, iudicium tuum regi da * et iustitiam tuam filio regis;";O Dieu, donne tes jugements au roi,  et ta justice au fils du roi.
iudicet populum tuum in iustitia * et pauperes tuos in iudicio.;Qu'il dirige ton peuple avec justice,  et tes malheureux avec équité!
Afferant montes pacem populo, * et colles iustitiam.;Que les montagnes produisent la paix au peuple,  ainsi que les collines, par 1a justice.
Iudicabit pauperes populi + et salvos faciet filios inopis * et humiliabit calumniatorem.;Qu'il fasse droit aux malheureux de son peuple,  qu'il assiste les enfants du pauvre,  et qu'il écrase l'oppresseur!
Et permanebit cum sole et ante lunam * in generatione et generationem.;Qu'on te révère, tant que subsistera le soleil,  tant que brillera la lune, d'âge en âge!
Descendet sicut pluvia in gramen, * et sicut imber irrigans terram.;Qu'il descende comme la pluie sur le gazon,  comme les ondées qui arrosent la terre!
Florebit in diebus eius iustitia et abundantia pacis, * donec auferatur luna.;Qu'en ses jours le juste fleurisse,  avec l'abondance de la paix,  jusqu'à ce qu'il n'y ait plus de lune
Et dominabitur a mari usque ad mare * et a flumine usque ad terminos orbis terrarum.;Il dominera d'une mer à l'autre,  du Fleuve aux extrémités de la terre.
Coram illo procident incolae deserti, * et inimici eius terram lingent.;Devant lui se prosterneront les habitants du désert,  et ses ennemis mordront la poussière.
Reges Tharsis et insulae munera offerent, * reges Arabum et Saba dona adducent.;"Les rois de Tharsis et des îles paieront des tributs;  les rois de Saba et de Méroé offriront des présents."
Et adorabunt eum omnes reges, * omnes gentes servient ei.;"Tous les rois se prosterneront devant lui;  toutes les nations le serviront."
Quia liberabit inopem clamantem * et pauperem, cui non erat adiutor.;Car il délivrera le pauvre qui crie vers lui,  et le malheureux dépourvu de tout secours.
Parcet pauperi et inopi * et animas pauperum salvas faciet.;II aura pitié du misérable et de l'indigent,  et il sauvera la vie du pauvre.
Ex oppressione et violentia redimet animas eorum, * et pretiosus erit sanguis eorum coram illo.;Il les affranchira de l'oppression et de la violence,  et leur sang aura du prix à ses yeux.
"Et vivet, et dabitur ei de auro Arabiae, + et orabunt pro ipso semper; * tota die benedicent ei.";"Ils vivront, et lui donneront de l'or de Saba;  ils feront sans cesse des voeux pour lui,  ils le béniront chaque jour."
Et erit ubertas frumenti in terra, * in summis montium fluctuabit,;Que les blés abondent dans le pays,  jusqu'au sommet des montagnes! 
"sicut Libanus fructus eius; * et florebunt de civitate sicut fenum terrae.";Que leurs épis s'agitent comme les arbres du Liban!  Que les hommes fleurissent dans la ville comme l'herbe des champs!
Sit nomen eius benedictum in saecula, * ante solem permanebit nomen eius.;Que son nom dure à jamais!  Tant que brillera le soleil,  que son nom se propage! 
Et benedicentur in ipso omnes tribus terrae, * omnes gentes magnificabunt eum.;Qu'on cherche en lui la bénédiction!  Que toutes les nations le proclament heureux!
Benedictus Dominus Deus, Deus Israel, * qui facit mirabilia solus.;Béni soit Yahweh Dieu, le Dieu d'Israël,  qui seul fait des prodiges!
"Et benedictum nomen maiestatis eius in aeternum; * et replebitur maiestate eius omnis terra. Fiat, fiat.";Béni soit à jamais son nom glorieux!  Que toute la terre soit remplie de sa gloire! Amen! Amen!
