Psalmus 21;Psaume 21
Afflictio iusti et exauditio;Détresse du juste, qui est exaucé
Clamavit Iesu voce magna : « Eli, Eli, lema sabacthani » (Mt 27, 46);Jésus cria d'une voix forte : « Mon dieu, mon dieu, pourquoi m'as-tu abandonné ? »
;
Deus, Deus meus, quare me dereliquísti? * Longe a salúte mea verba rugítus mei.;Mon Dieu, mon Dieu, pourquoi m'as-tu abandonné?  Je gémis, et le salut reste loin de moi!
Deus meus, clamo per diem, et non exáudis, * et nocte, et non est réquies mihi.;"Mon Dieu, je crie pendant le jour,  et tu ne réponds pas;  la nuit, et je n'ai point de repos."
Tu autem sanctus es, * qui hábitas in láudibus Israel.;Pourtant tu es saint,  tu habites parmi les hymnes d'Israël.
"In te speravérunt patres nostri, * speravérunt et liberásti eos;";"En toi se sont confiés nos pères;  ils se sont confiés, et tu les as délivrés."
ad te clamavérunt et salvi facti sunt, * in te speravérunt et non sunt confúsi.;"Ils ont crié vers toi, et ils ont été sauvés;  ils se sont confiés en toi, et ils n'ont pas été confus.?"
Ego autem sum vermis et non homo, * oppróbrium hóminum et abiéctio plebis.;Et moi, je suis un ver, et non un homme,  l'opprobre des hommes et le rebut du peuple.
"Omnes vidéntes me derisérunt me; * torquéntes lábia movérunt caput:";"Tous ceux qui me voient se moquent de moi;  ils ouvrent les lèvres, ils branlent la tête:"
«Sperávit in Dómino: erípiat eum, * salvum fáciat eum, quóniam vult eum».;"""Qu'il s'abandonne à Yahweh! Qu'il le sauve,  qu'il le délivre, puisqu'il l'aime! """
Quóniam tu es qui extraxísti me de ventre, * spes mea ad úbera matris meæ.;Oui, c'est toi qui m'as tiré du sein maternel,  qui m'as donné confiance sur les mamelles de ma mère.
In te proiéctus sum ex útero, * de ventre matris meæ Deus meus es tu.;"Dès ma naissance, je t'ai été abandonné;  depuis le sein de ma mère, c'est toi qui es mon Dieu."
Ne longe fias a me, + quóniam tribulátio próxima est, * quóniam non est qui ádiuvet.;Ne t'éloigne pas de moi, car l'angoisse est proche,  car personne ne vient à mon secours.
Circumdedérunt me vítuli multi, * tauri Basan obsedérunt me.;Autour de moi sont de nombreux taureaux,  les forts de Basan m'environnent.
Aperuérunt super me os suum * sicut leo rápiens et rúgiens.;Ils ouvrent contre moi leur gueule,  comme un lion qui déchire et rugit.
Sicut aqua effúsus sum, * et dissolúta sunt ómnia ossa mea.;"Je suis comme de l'eau qui s'écoule,  et tous mes os sont disjoints;  "
Factum est cor meum tamquam cera * liquéscens in médio ventris mei.;mon coeur est comme de la cire,  il se fond dans mes entrailles.
Aruit tamquam testa palátum meum, + et lingua mea adhæsit fáucibus meis, * et in púlverem mortis deduxísti me.;"Ma force s'est desséchée comme un tesson d'argile,  et ma langue s'attache à mon palais;  tu me couches dans la poussière de la mort."
Quóniam circumdedérunt me canes multi, * concílium malignántium obsédit me.;"Car des chiens m'environnent,  une troupe de scélérats rôdent autour de moi;  ils ont percé mes pieds et mes mains,"
Fodérunt manus meas et pedes meos, * et dinumerávi ómnia ossa mea.;"je pourrais compter tous mes os.  Eux, ils m'observent, ils me contemplent;"
"Ipsi vero consideravérunt et inspexérunt me; + divisérunt sibi vestiménta mea * et super vestem meam misérunt sortem.";ils se partagent mes vêtements,.  ils tirent au sort ma tunique.
Tu autem, Dómine, ne elongáveris, * fortitúdo mea, ad adiuvándum me festína.;Et toi, Yahweh, ne t'éloigne pas!  Toi qui es ma force, viens en hâte à mon secours!
Erue a frámea ánimam meam * et de manu canis únicam meam.;Délivre mon âme de l'épée,  ma vie du pouvoir du chien!
Salva me ex ore leónis * et a córnibus unicórnium humilitátem meam.;Sauve-moi de la gueule du lion,  tire-moi des cornes du buffle!
Narrábo nomen tuum frátribus meis, * in médio ecclésiæ laudábo te.;"Alors j'annoncerai ton nom à mes frères;  au milieu de l'assemblée je te louerai:"
<h5>Hæc ultima pars psalmi ad libitum dici potest.</h5>;<h5>Cette dernière patie du psaume peut être dite librement</h5>
Qui timétis Dóminum, laudáte eum, * univérsum semen Iacob, glorificáte eum.;""" Vous qui craignez Yahweh, louez-le!  Vous tous, postérité de Jacob, glorifiez-le!  "
Métuat eum omne semen Israel, * quóniam non sprevit neque despéxit afflictiónem páuperis,;Révérez-le, vous tous, postérité d'Israel!
nec avértit fáciem suam ab eo * et, cum clamáret ad eum, exaudívit.;"Car il n'a pas méprisé, il n'a pas rejeté la souffrance de l'affligé,  il n'a pas caché sa face devant lui,  et quand l'affligé a crié vers lui, il a entendu. """
"Apud te laus mea in ecclésia magna; * vota mea reddam in conspéctu timéntium eum.";Grâce à toi, mon hymne retentira dans la grande assemblée,  j'acquitterai mes voeux en présence de ceux qui te craignent.
Edent páuperes et saturabúntur, + et laudábunt Dóminum, qui requírunt eum: * «Vivant corda eórum in sæculum sæculi!».;"Les affligés mangeront et se rassasieront;  ceux qui cherçhent Yahweh le loueront.  Que votre coeur revive à jamais!"
Reminiscéntur et converténtur ad Dóminum univérsi fines terræ, * et adorábunt in conspéctu eius univérsæ famíliæ géntium.;Toutes les extrémités de la terre  se souviendront et se tourneront vers Yahweh,  et toutes les familles des nations  se prosterneront devant sa face.
Quóniam Dómini est regnum, * et ipse dominábitur géntium.;Car à Yahweh appartient l'empire, il domine sur les nations.
"Ipsum solum adorábunt omnes, qui dórmiunt in terra;  * in conspéctu eius prócident omnes, qui descéndunt in púlverem.";"Les puissants de la terre mangeront et se prosterneront;  devant lui s'inclineront tous çeux qui descendent à la poussière,  ceux qui ne peuvent prolonger leur vie."
Anima autem mea illi vivet,  * et semen meum sérviet ipsi.;"La postérité le servira;  on parlera du Seigneur à la génération future."
Narrábitur de Dómino generatióni ventúræ,+ et annuntiábunt iustítiam eius pópulo, qui nascétur:  * «Hæc fecit Dóminus!».;Ils viendront et ils annonceront sa justice,  au peuple qui naîtra, ils diront ce qu'il a fait.
