Psalmus 71 (73);Psaume 72 (73)
Cur iustus vexetur;Mystère de la souffrance du juste
Beatus est, qui non fueri scandalizatus in me (Mt 11,6);Heureux celui qui ne tombera pas à cause de moi !
;
Quam bonus rectis est Deus, * Deus his, qui mundo sunt corde!;"Oui, Dieu est bon pour Israël,  pour ceux qui ont le c&oelig;ur pur!"
Mei autem paene moti sunt pedes, * paene effusi sunt gressus mei,;Toutefois j'étais sur le point de fléchir,  mon pied a presque glissé
quia zelavi super gloriantes, * pacem peccatorum videns.;Car je m'indignais contre les impies,  en voyant le bonheur des méchants.
Quia non sunt eis impedimenta, * sanus et pinguis est venter eorum.;"Pour eux, point de douleurs jusqu'à la mort;  leur corps est plein de vigueur."
In labore mortalium non sunt * et cum hominibus non flagellantur.;"Ils n'ont point de part au labeur des mortels;  ils ne sont point frappés avec le reste des hommes."
Ideo quasi torques est eis superbia, * et tamquam indumentum operuit eos violentia.;Aussi l'orgueil est la parure de leur cou,  et la violence, la robe précieuse qui les couvre.
Prodit quasi ex adipe iniquitas eorum, * erumpunt cogitationes cordis.;"L'iniquité sort de leurs entrailles,  les pensées de leur c&oelig;ur se font jour."
ubsannaverunt et locuti sunt nequitiam, * iniquitatem ab excelso locuti sunt.;Ils raillent, ils parlent iniquité et violence,  ils profèrent des discours hautains.
Posuerunt in caelo os suum, * et lingua eorum transivit in terra.;Ils dirigent leur bouche contre le ciel même,  et leur langue s'exerce sur la terre.
Ideo in alto sedent, * et aquae plenae non pervenient ad eos.;C'est pourquoi mon peuple se tourne de leur côté,  il avale l'eau à grands traits.
"Et dixerunt: "" Quomodo scit Deus, * et si est scientia in Excelso? "".";"Ils disent: "" Comment Dieu saurait-il?  Comment 1e Très-Haut connaîtrait-il? """
Ecce ipsi peccatores et abundantes in saeculo * multiplicaverunt divitias.;Tels sont les méchants:  toujours heureux, ils accroissent leurs richesses.
"Et dixi: "" Ergo sine causa mundavi cor meum * et lavi in innocentia manus meas;";"C'est donc en vain que j'ai gardé mon c&oelig;ur pur,  que j'ai lavé mes mains dans l'innocence;"
"et fui flagellatus tota die, * et castigatio mea in matutinis "".";"tout le jour je suis frappé,  chaque matin mon châtiment est, Ià. """
"Si dixissem: "" Loquar ut illi "", * ecce generationem filiorum tuorum prodidissem.";"Si j'avais dit: "" Je veux parler comme eux "",  j'aurai trahi la race de tes enfants."
"Et cogitabam, ut cognoscerem hoc; * labor erat in oculis meis,";J'ai réfléchi pour comprendre ces choses,  la difficulté a été grande à mes yeux,
donec intravi in sanctuarium Dei * et intellexi novissima eorum.;jusqu'à ce que j'aie pénétré dans le sanctuaire de Dieu,  et pris garde à leur sort final.
Verumtamen in lubrico posuisti eos, * deiecisti eos in ruinas.;"Oui, tu les placés sur des voies glissantes;  tu les fais tomber, et ils ne sont plus que ruines."
Quomodo facti sunt in desolationem! * Subito defecerunt, perierunt prae horrore.;Eh quoi! En un instant les voilà détruits!  Ils sont anéantis, ils disparaissent dans des catastrophes!
Velut somnium evigilantis, Domine, * surgens imaginem ipsorum contemnes.;Comme on fait d'un songe au réveil,  Seigneur, à ton réveil, tu repousses leur image,
"Quia exacerbatum est cor meum, * et renes mei compuncti sunt;";"Lorsque mon c&oelig;ur s'aigrissait,  et que je me sentais profondément ému,"
et ego insipiens factus sum et nescivi: * ut iumentum factus sum apud te.;j'étais stupide et sans intelligence,  j'étais comme une brute devant toi.
"Ego autem semper tecum; * tenuisti manum dexteram meam.";Mais je serai à jamais avec toi:  tu m'as saisi la main droite,
In consilio tuo deduces me * et postea cum gloria suscipies me.;"par ton conseil tu me conduiras;  et tu me recevras ensuite dans la gloire."
Quis enim mihi est in caelo? * Et tecum nihil volui super terram.;Quel autre que toi ai-je au ciel?  Avec toi, je ne désire rien sur la terre.
"Defecit caro mea et cor meum; * Deus cordis mei, et pars mea Deus in aeternum.";"Ma chair et mon c&oelig;ur se consument:  le rocher de mon c&oelig;ur et mon partage,  c'est Dieu à jamais."
"uia ecce, qui elongant se a te, peribunt; * perdidisti omnes, qui fornicantur abs te.";"Voici que ceux qui s'éloignent de toi périssent;  tu extermines tous ceux qui te sont infidèles."
Mihi autem adhaerere Deo bonum est, * ponere in Domino Deo spem meam,;"Pour moi, être uni à Dieu, c'est mon bonheur;  dans le Seigneur Yahweh je mets ma confiance,"
ut annuntiem omnes operationes tuas * in portis filiae Sion.;"afin de raconter toutes tes &oelig;uvres."
