Psalmus 26 (27);Psaume 26 (27)
In periculis fiducia;Confiance dans le danger
Ecce tabernaculum Dei cum hominibus (Ap 21, 3).;Voici le tabernacle de Dieu avec les hommes (Ap 21, 3).
;
Dóminus illuminátio mea et salus mea, * quem timébo? + Dóminus protéctor vitæ meæ, * a quo trepidábo?;Le Seigneur est ma lumière et mon salut : qui craindrais-je? Le Seigneur est le rempart de ma vie : de qui aurais-je peur? 
"Dum apprópiant super me nocéntes, * ut edant carnes meas; ";"Quand des méchants se sont avancés contre moi, pour dévorer ma chair; "
qui tríbulant me et inimíci mei, * ipsi infirmáti sunt et cecidérunt.;quand mes adversaires et mes ennemis se sont avancés, ce sont eux qui ont chancelé et qui sont tombés. 
"Si consístant advérsum me castra, * non timébit cor meum; ";"Qu'une armée vienne camper contre moi, mon coeur ne craindra point;"
si exsúrgat advérsum me proelium, * in hoc ego sperábo.;que contre moi s'engage le combat, alors même j'aurai confiance. 
Unum pétii a Dómino, hoc requíram: * ut inhábitem in domo Dómini ómnibus diébus vitæ meæ,;Je demande au Seigneur une chose, je la désire ardemment : je voudrais habiter dans la maison du Seigneur, tous les jours de ma vie, 
ut vídeam voluptátem Dómini * et vísitem templum eius.;pour jouir des amabilités du Seigneur, pour contempler son sanctuaire. 
Quóniam occultábit me in tentório suo, * in die malórum. ;Car il m'abritera dans sa demeure au jour de l'adversité,
Abscóndet me in abscóndito tabernáculi sui, * in petra exaltábit me. ; il me cachera dans le secret de sa tente, il m'établira sur un rocher. 
Et nunc exaltátur caput meum * super inimícos meos in circúitu meo. ;"ma tête s'élèvera au-dessus des ennemis; qui sont autour de moi."
Immolábo in tabernáculo eius hóstias vociferatiónis, * cantábo et psalmum dicam Dómino.;J'offrirai dans son tabernacle des sacrifices d'actions de grâces, je chanterai et je dirai des hymnes au Seigneur. 
Exáudi, Dómine, vocem meam, qua clamávi, * miserére mei et exáudi me.;"Seigneur, écoute ma voix, je t'invoque; aie pitié de moi et exauce-moi ! "
De te dixit cor meum: «Exquírite fáciem meam!». * Fáciem tuam, Dómine, exquíram.;"Mon coeur dit de ta part : ""Cherchez ma face ! ""; je cherche ta face, Seigneur."
Ne avértas fáciem tuam a me, * ne declínes in ira a servo tuo. ;"Ne me cache pas fa face, ne repousse pas avec colère ton serviteur;"
Adiútor meus es tu, ne me reícias * neque derelínquas me, Deus salútis meæ. ;Tu es mon secours, ne me délaisse pas, et ne m'abandonne pas, Dieu de mon salut !
Quóniam pater meus et mater mea dereliquérunt me, * Dóminus autem assúmpsit me.;Car mon père et ma mère m'ont abandonné, mais le Seigneur me recueillera. 
Osténde mihi, Dómine, viam tuam * et dírige me in sémitam rectam propter inimícos meos.;"Seigneur, enseigne-moi ta voie ; dirige-moi dans un sentier uni, à cause de ceux qui m'épient. "
"Ne tradíderis me in ánimam tribulántium me; quóniam insurrexérunt in me testes iníqui * et qui violéntiam spirant.";Ne me livre pas à la fureur de mes adversaires, car contre moi s'élèvent des témoins de mensonge, et des gens qui ne respirent que violence. 
Credo vidére bona Dómini * in terra vivéntium. ;Ah ! si je ne croyais pas voir la bonté du Seigneur, dans la terre des vivants. 
Exspécta Dóminum, viríliter age, * et confortétur cor tuum, et sústine Dóminum.;Espère dans le Seigneur, aie courage et que ton coeur soit ferme, espère dans le Seigneur.
