Psalmus 87 (88);Psaume 87 (88)
Hominis graviter ægrotantis oratio;Prière de l’homme gravement malade
Hæc est hora vestra et potestas tenebrarum (Lc 22, 53).;C’est maintenant votre heure, et le pouvoir des ténèbres (Lc 22, 53).
I;I
Dómine, Deus salútis meæ, * in die clamávi et nocte coram te. ;Seigneur, Dieu de mon salut, quand je crie la nuit devant toi, 
"Intret in conspéctu tuo orátio mea; * inclína aurem tuam ad precem meam.";que ma prière arrive en ta présence, prête l'oreille à mes supplications ! 
Quia repléta est malis ánima mea, * et vita mea inférno appropinquávit. ;"Car mon âme est rassasiée de maux; et ma vie touche au schéol. "
Æstimátus sum cum descendéntibus in lacum, * factus sum sicut homo sine adiutório. ;On me compte parmi ceux qui descendent dans la fosse, je suis comme un homme à bout de forces. 
"Inter mórtuos liber, * sicut vulneráti dormiéntes in sepúlcris; ";je suis comme délaissé parmi les morts, pareil aux cadavres étendus dans le sépulcre,
quorum non es memor ámplius, * et ipsi de manu tua abscíssi sunt.;dont tu n'as plus le souvenir, et qui sont soustraits à ta main. 
Posuísti me in lacu inferióri, * in tenebrósis et in umbra mortis. ;Tu m'as jeté au fond de la fosse, dans les ténèbres, dans les abîmes. 
Super me gravátus est furor tuus, * et omnes fluctus tuos induxísti super me.;Sur moi s'appesantit ta fureur, tu m'accables de tous tes flots. 
