Psalmus 149;Psaume 149
Exsultatio sanctorum;L’exusltation des saints
Filii Ecclesiae, filii novi populi exsultent in rege suo: in Christo (Hesychius).;Les fils de l’Eglise, les fils du nouveau peuple exultent en leur roi : dans le Christ (Hesychius).

"Cantáte Dómino cánticum novum; * laus eius in ecclésia sanctórum.";"Chantez au Seigneur un cantique nouveau ; qu’il soit loué dans l’assemblée des saints."
Lætétur Israel in eo, qui fecit eum, * et fílii Sion exsúltent in rege suo.;"Qu’Israël se réjouisse en celui qui l’a créé ; que les Fils de Sion soient transportés pour leur Roi."
Laudent nomen eius in choro, * in tympano et cíthara psallant ei,;"Qu’ils célèbrent son nom de concert ; qu’ils le chantent sur les tambourins et les pasltérions."
quia beneplácitum est Dómino in pópulo suo, * et honorábit mansuétos in salúte.;"Car le Seigneur se complaît en son peuple ; il a sauvé et glorifié les paisibles."
Iúbilent sancti in glória, * læténtur in cubílibus suis. ;Les saints tressaillent dans la gloire, ils se réjouissent de leur repos.
Exaltatiónes Dei in gútture eórum * et gládii ancípites in mánibus eórum,;La louange de Dieu est sur leurs lèvres, des glaives à deux tranchants sont dans leurs mains.
ad faciéndam vindíctam in natiónibus, * castigatiónes in pópulis, ;Pour tirer vengeance des nations, pour châtier les peuples.
ad alligándos reges eórum in compédibus * et nóbiles eórum in mánicis férreis, ;Pour charger de chaînes pieds de leurs rois, pour mettre auurs grands les menottes.
ad faciéndum in eis iudícium conscríptum: * glória hæc est ómnibus sanctis eius.;Pour accomplir sur eux la sentence écrite. C’est la gloire qu’il réserve à tous ses saints.
