Psalmus 87 (88);Psaume 87 (88)
Hominis graviter ægrotantis oratio;Prière de l’homme gravement malade
Hæc est hora vestra et potestas tenebrarum (Lc 22, 53).;C’est maintenant votre heure, et le pouvoir des ténèbres (Lc 22, 53).

Dómine, Deus salútis meæ, * in die clamávi et nocte coram te. ;Seigneur, Dieu de mon salut, quand je crie la nuit devant toi, 
"Intret in conspéctu tuo orátio mea; * inclína aurem tuam ad precem meam.";que ma prière arrive en ta présence, prête l'oreille à mes supplications ! 
Quia repléta est malis ánima mea, * et vita mea inférno appropinquávit. ;"Car mon âme est rassasiée de maux; et ma vie touche au schéol. "
Æstimátus sum cum descendéntibus in lacum, * factus sum sicut homo sine adiutório. ;On me compte parmi ceux qui descendent dans la fosse, je suis comme un homme à bout de forces. 
"Inter mórtuos liber, * sicut vulneráti dormiéntes in sepúlcris; ";je suis comme délaissé parmi les morts, pareil aux cadavres étendus dans le sépulcre,
quorum non es memor ámplius, * et ipsi de manu tua abscíssi sunt.;dont tu n'as plus le souvenir, et qui sont soustraits à ta main. 
Posuísti me in lacu inferióri, * in tenebrósis et in umbra mortis. ;Tu m'as jeté au fond de la fosse, dans les ténèbres, dans les abîmes. 
Super me gravátus est furor tuus, * et omnes fluctus tuos induxísti super me.;Sur moi s'appesantit ta fureur, tu m'accables de tous tes flots. 
"Longe fecísti notos meos a me, * posuísti me abominatiónem eis; ";"Tu as éloigné de moi mes amis, tu m'as rendu pour eux un objet d'horreur; "
conclúsus sum et non egrédiar. * Oculi mei languérunt præ afflictióne.;"je suis emprisonné sans pouvoir sortir;  mes yeux se consument dans la souffrance."
Clamávi ad te, Dómine, tota die, * expándi ad te manus meas. ;je t'invoque tout le jour, le Seigneur, j'étends les mains vers toi. 
Numquid mórtuis fácies mirabília, * aut surgent umbræ et confitebúntur tibi?;"Feras-tu un miracle pour les morts; ou bien les ombres se lèveront-elles pour te louer ?"
Numquid narrábit áliquis in sepúlcro  misericórdiam tuam * et veritátem tuam in loco perditiónis?;Publie-t-on ta bonté dans le sépulcre, ta fidélité dans l'abîme? 
Numquid cognoscéntur in ténebris mirabília tua * et iustítia tua in terra obliviónis?;Tes prodiges sont-ils connus dans la région des ténèbres et ta justice dans la terre de l'oubli ? 
Et ego ad te, Dómine, clamávi, * et mane orátio mea prævéniet te. ;Et moi, le Seigneur, je crie vers toi, ma prière va au-devant de toi dès le matin. 
Ut quid, Dómine, repéllis ánimam meam, * abscóndis fáciem tuam a me? ;Pourquoi, le Seigneur, repousses-tu mon âme, me caches-tu ta face ? 
"Pauper sum ego et móriens a iuventúte mea; * portávi pavóres tuos et conturbátus sum. ";"Je suis malheureux et moribond depuis ma jeunesse; sous le poids de tes terreurs, je ne sais que devenir. "
Super me transiérunt iræ tuæ, * et terróres tui excidérunt me. ;Tes fureurs passent sur moi, tes épouvantes m'accablent. 
Circuiérunt me sicut aqua tota die, * circumdedérunt me simul.;"Comme des eaux débordées elles m'environnent tout le jour; elles m'assiègent toutes ensemble."
Elongásti a me amícum et próximum, * et noti mei sunt ténebræ.;"Tu as éloigné de moi mes amis et mes proches ; mes compagnons, ce sont les ténèbres de la tombe."
