Psalmus 7;Psaume 7
Oratio iusti calumniam patientis;Prière du juste endurant la calomnie
Ecce iudex ante ianuam assistit (Iac 5, 9).;Voici que le juge se tient à la porte (Iac 5, 9).
;
"Dómine Deus meus, in te sperávi; * salvum me fac ex ómnibus persequéntibus me et líbera me, ";"Seigneur, mon Dieu, en toi je me confie ; sauve-moi de tous mes persécuteurs et délivre-moi, "
ne quando rápiat ut leo ánimam meam * discérpens, dum non est qui salvum fáciat.;De peur qu'il ne me déchire, comme un lion, qu'il ne dévore sa proie, sans que nul ne la lui arrache. 
Dómine Deus meus, si feci istud, * si est iníquitas in mánibus meis, ;Seigneur, mon Dieu, si j'ai fait cela, s'ïl y a de l'iniquité dans mes mains 
si réddidi retribuénti mihi mala * et exspoliávi inimícum meum dimíttens inánem, ;Si j'ai rendu le mal à qui est en paix avec moi, si j'ai dépouillé celui qui m'opprime sans raison, 
persequátur inimícus ánimam meam et comprehéndat et concúlcet in terra vitam meam * et glóriam meam in púlverem dedúcat.;que l'ennemi me poursuive et m'atteigne, qu'il foule à terre ma vie, qu'il couche ma gloire dans la poussière.
Exsúrge, Dómine, in ira tua * et exaltáre contra indignatiónem inimicórum meórum ;Lève-toi, Seigneur, dans ta colère, porte-toi contre les fureurs de mes adversaires
et exsúrge, Deus meus, * in iudício, quod mandásti.;réveille-toi pour me secourir, toi qui ordonnes un jugement. 
Et synagóga populórum circúmdabit te, et super hanc in altum regrédere: * Dóminus iúdicat pópulos.;Que l'assemblée des peuples t'environne ! Puis, t'éleveras au-dessus d'elle, remonte dans les hauteurs. 
Iúdica me, Dómine, secúndum iustítiam meam * et secúndum innocéntiam meam, quæ est in me. ;Le Seigneur juge les peuples : rends-moi justice, le Seigneur, selon mon droit et mon innocence. 
"Consumátur nequítia peccatórum; et iustum confírma, * scrutans corda et renes Deus iustus.";Mets un terme à la malice des méchants, et affermis le juste, toi qui sondes les coeurs et les reins, ô Dieu juste 
Adiutórium meum apud Deum, * qui salvos facit rectos corde. ;Mon bouclier est en Dieu, qui sauve les hommes au coeur droit. 
Deus iudex iustus, * fortis, iráscens per síngulos dies.;"Dieu est un juste juge ; tous les jours, le Tout-puissant fait entendre ses menaces. "
Nonne íterum gládium suum exácuit, * arcum suum teténdit et parávit illum? ;"Certes, de nouveau il aiguise son glaive, il bande son arc et il vise ; "
Et parávit sibi vasa mortis, * sagíttas suas ardéntes effécit.;Il dirige sur lui des traits meurtriers, il rend ses flèches brûlantes. 
"Ecce partúriit iniustítiam, * concépit dolórem et péperit iniquitátem;";Voici le méchant en travail de l'iniquité : il a conçu le malheur et il enfante le mensonge. 
lacum apéruit et effódit eum * et íncidit in fóveam, quam fecit. ;Il ouvre une fosse, il la creuse, et il tombe dans l'abîme qu'il préparait. 
Convertétur dolor eius in caput eius, * et in vérticem ipsíus iníquitas eius descéndet. ;Son iniquité retombe sur sa tête, et sa violence redescend sur son front.
Confitébor Dómino secúndum iustítiam eius * et psallam nómini Dómini Altíssimi.;Je louerai le Seigneur pour sa justice, je chanterai le nom du Seigneur, le Très-Haut. 
