Psalmus 17B - Divisio;Psaume 17B - Division
;
;
II;II
Et dedísti mihi scutum salútis tuæ, + et déxtera tua suscépit me, * et exaudítio tua magnificávit me.;Tu m'as donné le bouclier de ton salut, et ta droite me soutient, et ta douceur me fait grandir.
Dilatásti gressus meos subtus me, * et non sunt infirmáta vestígia mea.;Tu élargis mon pas au-dessous de moi, et mes pieds ne chancellent point.
Persequébar inimícos meos et comprehendébam illos * et non convertébar, donec defícerent.;"Je poursuis mes ennemis et je les atteins; je ne reviens pas sans les avoir anéantis."
Confringébam illos, nec póterant stare, * cadébant subtus pedes meos.;"Je les brise, et ils ne se relèvent pas; Ils tombent sous mes pieds."
Et præcinxísti me virtúte ad bellum * et supplantásti insurgéntes in me subtus me.;Tu me ceins de force pour 1e combat, tu fais plier sous moi mes adversaires.
Et inimícos meos dedísti mihi dorsum * et odiéntes me disperdidísti.;"Mes ennemis!... tu leur fais tourner le dos devant moi; et j'extermine ceux qui me haissent."
Clamavérunt, nec erat qui salvos fáceret, * ad Dóminum, nec exaudívit eos.;Ils crient, et personne pour les sauver! Ils crient vers Yahweh, et il ne leur répond pas!
Et commínui eos ut púlverem ante fáciem venti, * ut lutum plateárum contrívi eos.;Je les broie comme la poussière livrée au vent, je les balaie comme la boue des rues.
Eripuísti me de contradictiónibus pópuli, * constituísti me in caput géntium.;"Tu me délivres des révoltes du peuple, tu me mets à la téte des nations; Des peuples que je ne connaissais pas me sont asservis."
Pópulus, quem non cognóvi, servívit mihi, * in audítu auris obœdívit mihi.;"Dès qu'ils ont entendu, ils m'obéissent; les fils de l'étranger me flattent."
Filii aliéni blandíti sunt mihi, + filii aliéni inveteráti sunt, * contremuérunt in ábditis suis.;Les fils de l'étranger sont défaillants, ils sortent tremblants de leurs forteresses.
