Psalmus 33 (34);Psaume 33 (34)
Dominus iustorum salus;Le Seigneur est le salut des justes
Gustastis quoniam dulcis Dominus (1 Petr 2, 3).;Goûtez comme est doux le Seigneur (1 Petr 2, 3).
I;I
Benedícam Dóminum in omni témpore, * semper laus eius in ore meo.;"Je veux bénir le Seigneur en tout temps; sa louange sera toujours dans ma bouche. "
In Dómino gloriábitur ánima mea, * áudiant mansuéti et læténtur. ;Dans le Seigneur mon âme se glorifiera : que les doux entendent et se réjouissent
Magnificáte Dóminum mecum, * et exaltémus nomen eius in idípsum.;Exaltez avec moi le Seigneur, ensemble célébrons son nom ! 
Exquisívi Dóminum, et exaudívit me * et ex ómnibus terróribus meis erípuit me.;J'ai cherché le Seigneur, et il m'a exaucé, et il m'a délivré de toutes mes frayeurs.
Respícite ad eum, et illuminámini * et fácies vestræ non confundéntur.;Quand on regarde vers lui, on est rayonnant de Joie, et le visage ne se couvre pas de honte. 
Iste pauper clamávit, et Dóminus exaudívit eum * et de ómnibus tribulatiónibus eius salvávit eum.;Ce pauvre a crié, et le Seigneur l'a entendu, et il l'a sauvé de toutes ses angoisses. 
Vallábit ángelus Dómini in circúitu timéntes eum * et erípiet eos.;L'ange du Seigneur campe autour de ceux qui le craignent, et il les sauve. 
"Gustáte et vidéte quóniam suávis est Dóminus; * beátus vir, qui sperat in eo.";Goûtez et voyez combien le Seigneur est bon ! Heureux l'homme qui met en lui son refuge ! 
Timéte Dóminum, sancti eius, * quóniam non est inópia timéntibus eum.;Craignez le Seigneur, vous ses saints, car il n'y a point d'indigence pour ceux qui le craignent. 
Dívites eguérunt et esuriérunt, * inquiréntes autem Dóminum non defícient omni bono.;Les riches ont été dans la disette et la faim, mais ceux qui cherchent le Seigneur ne manquent à aucun bien.
