Psalmus 91 (92);Psaume 91 (92)
Laus Domini creatoris;Louange au Dieu créateur
Laudes enuntiantur pro gestis Unigeniti (S. Athanasius).;Les louanges célèbrent les hauts faits du Fils unique (S. Athanase).
;
Bonum est confitéri Dómino * et psállere nómini tuo, Altíssime,;Il est bon de louer le Seigneur, et de célébrer ton nom, ô Très-Haut, 
annuntiáre mane misericórdiam tuam * et veritátem tuam per noctem,;de publier le matin ta bonté, et ta fidélité pendant la nuit, 
in decachórdo et psaltério, * cum cántico in cíthara.;sur l'instrument à dix cordes et sur le luth, avec les accords de la harpe. 
Quia delectásti me, Dómine, in factúra tua, * et in opéribus mánuum tuárum exsultábo.;Tu me réjouis, le Seigneur, par tes œuvres, et je tressaille devant les ouvrages de tes mains. 
Quam magnificáta sunt ópera tua, Dómine: * nimis profúndæ factæ sunt cogitatiónes tuæ.;Que tes œuvres sont grandes, le Seigneur, que tes pensées sont profondes ! 
Vir insípiens non cognóscet, * et stultus non intélleget hæc.;L'homme stupide n'y connaît rien, et l'insensé n'y peut rien comprendre. 
Cum germináverint peccatóres sicut fenum, * et florúerint omnes, qui operántur iniquitátem,;Quand les méchants croissent comme l'herbe, et que fleurissent tous ceux qui font le mal,
"hoc tamen erit ad intéritum in sæculum sæculi; * tu autem altíssimus in ætérnum, Dómine.";c'est pour être exterminés à jamais. Mais toi, tu es élevé pour l'éternité, le Seigneur !
Quóniam ecce inimíci tui, Dómine, quóniam ecce inimíci tui períbunt, * et dispergéntur omnes, qui operántur iniquitátem.;Car voici que tes ennemis périssent, tous ceux qui font le mal sont dispersés.
Exaltábis sicut unicórnis cornu meum, * perfúsus sum óleo úberi.;Et tu élèves ma corne, comme celle d'un buffle, je suis arrosé avec une huile fraîche. 
Et despíciet óculus meus inimícos meos, * et in insurgéntibus in me malignántibus áudiet auris mea.;Mon œil se plaît à contempler mes ennemis, et mon oreille à entendre les méchants qui s'élèvent contre moi. 
Iustus ut palma florébit, * sicut cedrus Líbani succréscet.;Le juste croîtra comme le palmier, il s'élèvera comme le cèdre du Liban. 
Plantáti in domo Dómini, * in átriis Dei nostri florébunt.;Plantés dans la maison du Seigneur, ils fleuriront dans les parvis de notre Dieu. 
Adhuc fructus dabunt in senécta, * úberes et bene viréntes erunt,;"Ils porteront encore des fruits dans la vieillesse ; ils seront pleins de sève et verdoyants, "
ut annúntient quóniam rectus Dóminus, refúgium meum, * et non est iníquitas in eo.;pour proclamer que le Seigneur est juste : il est mon rocher, et il n'y a pas en lui d'injustice. 
