Psalmus 73 (74);Psaume 73 (74)
Lamentatio propter templum vastatum;Complainte sur la ruine du temple
Nolite timere eos qui occidunt corpus (MT 10, 28);"Ne craignez pas ceux qui peuvent tuer le corps ;"
;
Ut quid, Deus, reppulisti in finem, * iratus est furor tuus super oves pascuae tuae?;Pourquoi, ô Dieu, nous as-tu rejetés pour toujours?  Pourquoi ta colère est-elle allumée contre le troupeau de ton pâturage?
Memor esto congregationis tuae, * quam possedisti ab initio.;Souviens-toi de ton peuple que tu as acquis aux jours anciens,  
Redemisti virgam hereditatis tuae: * mons Sion, in quo habitasti.;"que tu as racheté pour être la tribu de ton héritage!  Souviens-toi de ta montagne de Sion où tu faisais ta résidence;"
Leva gressus tuos in ruinas sempiternas: * omnia vastavit inimicus in sancto.;"porte tes pas vers ces ruines irréparables;  l'ennemi a tout ravagé dans le sanctuaire."
"Rugierunt, qui oderunt te, in medio congregationis tuae; * posuerunt signa sua in signa.";"Tes adversaires ont rugi au milieu de tes saints parvis;  ils ont établi pour emblèmes leurs emblèmes."
Visi sunt quasi in altum securim vibrantes * in silva condensa.;On les a vus, pareils au bûcheron,  qui lève la cognée dans une épaisse forêt.
"Exciderunt ianuas eius in idipsum; * in securi et ascia deiecerunt.";"Et maintenant, toutes les sculptures ensemble;  ils les ont brisées à coups de hache et de marteau."
"Incenderunt igni sanctuarium tuum, * in terram polluerunt tabernaculum nominis tui;";"Ils ont livré au feu ton sanctuaire;  ils ont abattu et profané la demeure de ton nom."
"dixerunt in corde suo: "" Opprimamus eos simul "". * Combusserunt omnes congregationes Dei in terra.";"Ils disaient dans leur coeur:  "" Détruisons-les tous ensemble! ""  Ils ont brûlé dans le pays tous les lieux saints."
"Signa nostra non vidimus; + iam non est propheta, * et apud nos non est qui cognoscat amplius.";"Nous ne voyons plus nos signes;  il n'y a plus de prophète,  et personne parmi nous qui sache jusques à quand..."
Usquequo, Deus, improperabit inimicus, * spernet adversarius nomen tuum in finem?;Jusques à quand, ô Dieu, l'oppresseur insultera-t-i1,  l'ennemi blasphèmera-t-il sans cesse ton nom?
Ut quid avertis manum tuam * et tenes dexteram tuam in medio sinu tuo?;Pourquoi retires-tu ta main et ta droite?  Tire-la de ton sein et détruis-les!
Deus autem rex noster ante saecula, * operatus est salutes in medio terrae.;Pourtant Dieu est mon roi dès les temps anciens,  lui qui a opéré tant de délivrances sur la terre.
Tu conscidisti in virtute tua mare, * contribulasti capita draconum in aquis.;C'est toi qui as divisé la mer par ta puissance,  toi qui as brisé la tête des monstres dans les eaux.
Tu confregisti capita Leviathan, * dedisti eum escam monstris maris.;C'est toi qui as écrasé les têtes de Léviathan,  et l'as donné en pâture au peuple du désert.
"Tu dirupisti fontes et torrentes; * tu siccasti fluvios perennes.";C'est toi qui as fait jaillir la source et le torrent,  toi qui as mis à sec les fleuves qui ne tarissent pas.
Tuus est dies, et tua est nox, * tu fabricatus es luminaria et solem.;"A toi est le jour, à toi est la nuit;  c'est toi qui as créé la lune et le soleil."
Tu statuisti omnes terminos terrae, * aestatem et hiemem, tu plasmasti ea.;"C'est toi qui as fixé toutes les limites de la terre;  l'été et l'hiver, c'est toi qui les a établis."
Memor esto huius: + inimicus improperavit Domino, * et populus insipiens sprevit nomen tuum.;Souviens-toi: l'ennemi insulte Yahweh,  un peuple insensé blasphème ton nom!
Ne tradas bestiis animas confitentes tibi * et animas pauperum tuorum ne obliviscaris in finem.;Ne livre pas aux bêtes l'âme de ta tourterelle,  n'oublie pas pour toujours la vie de tes pauvres.
Respice in testamentum, * quia repleta sunt latibula terrae tentoriis violentiae.;Prends garde à ton alliance!  car tous les coins du pays sont pleins de repaires de violence.
"Ne revertatur humilis factus confusus; * pauper et inops laudabunt nomen tuum.";Que l'opprimé ne s'en retourne pas confus,  que le malheureux et le pauvre puissent bénir ton nom!
"Exsurge, Deus, iudica causam tuam; + memor esto improperiorum tuorum, * quae ab insipiente fiunt tota die.";"Lève-toi, ô Dieu, prends en main ta cause;  souviens-toi des outrages que t'adresse chaque jour l'insensé."
"Ne obliviscaris voces inimicorum tuorum; * tumultus adversariorum tuorum ascendit semper.";N'oublie pas les clameurs de tes adversaires,  l'insolence toujours croissante de ceux qui te haïssent.
