Psalmus 95 (96) ;Psaume 95 (96) 
Dominus rex et iudex omnis terræ;Le Seigneur est roi et juge de toute la terre
Cantabant quasi canticum novum ante sedem in conspectu Agni (Cf. Ap 14, 3).;Ils chantaient comme un cantique nouveau devant le trône ne présence de l’Agneau (Cf. Ap 14, 3).
;
Cantáte Dómino cánticum novum, * cantáte Dómino, omnis terra.;Chantez au Seigneur un cantique nouveau ! Chantez au Seigneur, toute la terre ! 
Cantáte Dómino, benedícite nómini eius, * annuntiáte de die in diem salutáre eius.;Chantez au  Seigneur, bénissez son nom ! Annoncez de jour en jour son salut, 
Annuntiáte inter gentes glóriam eius, * in ómnibus pópulis mirabília eius.;Racontez sa gloire parmi les nations, ses merveilles parmi tous les peuples. 
Quóniam magnus Dóminus et laudábilis nimis, * terríbilis est super omnes deos.;Car le Seigneur est grand et digne de toute louange, il est redoutable par dessus tous les dieux,
Quóniam omnes dii géntium inánia, * Dóminus autem cælos fecit.;car tous les dieux des peuples sont néant. Mais le Seigneur a fait les cieux. 
Magnificéntia et pulchritúdo in conspéctu eius, * poténtia et decor in sanctuário eius.;La splendeur et la magnificence sont devant lui, la puissance et la majesté sont dans son sanctuaire. 
Afférte Dómino, famíliæ populórum, afférte Dómino glóriam et poténtiam, * afférte Dómino glóriam nóminis eius.;Rendez au Seigneur, famille des peuples, rendez au  Seigneur gloire et puissance ! Rendez au Seigneur la gloire due à son nom !
Tóllite hóstias et introíte in átria eius, * adoráte Dóminum in splendóre sancto.;Apportez l'offrande et venez dans ses parvis. 
Contremíscite a fácie eius, univérsa terra, * dícite in géntibus: «Dóminus regnavit!».;"Prosternez vous devant le Seigneur avec l'ornement sacré ; tremblez devant lui, vous, habitants de toute la terre ! Dites parmi les nations : "" le Seigneur est roi ; "
"Etenim corréxit orbem terræ, qui non commovébitur; * iudicábit pópulos in æquitáte.";"aussi le monde sera stable et ne chancellera pas ; il jugera les peuples avec droiture. "" "
"Læténtur cæli et exsúltet terra, sonet mare et plenitúdo eius; * gaudébunt campi et ómnia, quæ in eis sunt.";Que les cieux se réjouissent et que la terre soit dans l'allégresse ! Que la mer s'agite avec tout ce qu'elle contient ! Que la campagne s'égaie avec tout ce qu'elle renferme, 
Tunc exsultábunt ómnia ligna silvárum a fácie Dómini, quia venit, * quóniam venit iudicáre terram.;"que tous les arbres des forêts poussent des cris de joie devant le Seigneur , car il vient ! Car il vient pour juger la terre;"
Iudicábit orbem terræ in iustítia * et pópulos in veritáte sua.;il jugera le monde avec justice, et les peuples selon sa fidélité.
