Psalmus 1;Psaume 1
De duabus hominum viis;Les deux voies ouvertes à l'homme
Beati qui, sperantes in crucem, in auam descenderunt (Ex eauctore quodam II saeculi).;Heureux ceux qui ont mis leur espérance dans la croix et se sont plongés dans l'eau.
;
Beátus vir, qui non ábiit in consílio impiórum + et in via peccatórum non stetit * et in convéntu derisórum non sedit,;Heureux l'homme qui ne marche pas dans le conseil des impies, qui ne se tient pas dans la voie des pécheurs et qui ne s'assied pas dans la compagnie des moqueurs,
sed in lege Dómini volúntas eius, * et in lege eius meditátur die ac nocte.;mais qui a son plaisir dans la loi du Seigneur, et qui la médite jour et nuit.
"Et erit tamquam lignum plantátum secus decúrsus aquárum, * quod fructum suum dabit in témpore suo;";II est comme un arbre planté près d'un cours d'eau, qui donne son fruit en son temps,
et fólium eius non défluet, * et ómnia, quæcúmque fáciet, prosperabúntur.;et dont le feuillage ne se flétrit pas: tout ce qu'il fait réussit.
Non sic ímpii, non sic, * sed tamquam pulvis, quem próicit ventus.;II n'en est pas ainsi des impies: ils sont comme la paille que chasse le vent.
Ideo non consúrgent ímpii in iudício * neque peccatóres in concílio iustórum.;Aussi les impies ne resteront-ils pas debout au jour du jugement, ni les pécheurs dans l'assemblée des justes.
Quóniam novit Dóminus viam iustórum, * et iter impiórum períbit.;Car le Seigneur connait la voie du juste, mais la voie des pécheurs mène à la ruine.
