Psalmus 28 (29);Psaume 28 (29)
Verbi Domini præconium;Supplication de la Parole de Dieu 
Ecce vox de cælis dicens: «Hic est Filius meus dilectus» (Mt 3, 17).;Voici qu’une voix venue du ciel dit : « celui-ci est mon Fils bien aimé » (Mt 3, 17).
;
Afférte Dómino, fílii Dei, * afférte Dómino glóriam et poténtiam, ;Apportez au Seigneur, fils de Dieu, donnez au Seigneur gloire et puissance !
afférte Dómino glóriam nóminis eius, * adoráte Dóminum in splendóre sancto.;Apportez au Seigneur la gloire de son nom ! Adorez le Seigneur dans sa sainte splendeur.
"Vox Dómini super aquas; Deus maiestátis intónuit, * Dóminus super aquas multas. ";La voix du Seigneur gronde au-dessus des eaux, le Dieu de la gloire tonne,  le Seigneur est sur les eaux abondantes. 
Vox Dómini in virtúte, * vox Dómini in magnificéntia.;La voix du Seigneur est puissante,  la voix du Seigneur est majestueuse. 
"Vox Dómini confringéntis cedros; * et confrínget Dóminus cedros Líbani. ";"La voix du Seigneur brise les cèdres,  le Seigneur brise les cèdres du Liban ;"
Et saltáre fáciet, tamquam vítulum, Líbanum, * et Sárion, quemádmodum fílium unicórnium.;Il les fait bondir comme un jeune taureau, le Liban et le Sirion comme le petit du buffle.
Vox Dómini intercidéntis flammam ignis, vox Dómini concutiéntis desértum, * et concútiet Dóminus desértum Cades. ;La voix du Seigneur fait jaillir des flammes de feu, la voix du Seigneur ébranle le désert, le Seigneur ébranle le désert de Cadès.
"Vox Dómini properántis partum cervárum, et denudábit condénsa; * et in templo eius omnes dicent glóriam.";La voix du Seigneur fait enfanter les biches, elle dépouille les forêts de leur feuillage, et dans son temple tout dit : « Gloire ! »
Dóminus super dilúvium hábitat, * et sedébit Dóminus rex in ætérnum.;le Seigneur, au déluge, est assis sur son trône, le Seigneur siège sur son trône, roi pour l'éternité.
Dóminus virtútem pópulo suo dabit, * Dóminus benedícet pópulo suo in pace.;"le Seigneur donnera la force à son peuple ; le Seigneur bénira son peuple en lui donnant la paix."
