Psalmus 107 (108);Psaume 107 (108)
Laus Domini et imploratio auxilii;Louange du Seigneur et demande de secours
Quia exaltatus est super cælos Dei Filius, super omnem terram eius gloria prædicatur (Arnobius).;Le Fils de Dieu a été exalté au dessus des cieux. Aussi annonce-t’on sa gloire sur toute la terre (Arnobius).

Parátum cor meum, Deus,  parátum cor meum, * cantábo et psallam. Euge, glória mea! ;Mon cœur est affermi, ô Dieu, je chanterai et ferai retentir de joyeux instruments. Debout, ma gloire ! 
Exsúrge, psaltérium et cíthara, * excitábo auróram.;Éveillez-vous, ma lyre et ma harpe ! Que j'éveille l'aurore ! 
Confitébor tibi in pópulis, Dómine, * et psallam tibi in natiónibus, ;Je te louerai parmi les peuples, le Seigneur, je te chanterai parmi les nations. 
quia magna est usque ad cælos misericórdia tua * et usque ad nubes véritas tua. ;Car ta bonté s'élève au-dessus des cieux, et ta fidélité jusqu'aux nues. 
Exaltáre super cælos, Deus, * et super omnem terram glória tua. ;"Élève-toi au-dessus des cieux, ô Dieu ; que ta gloire brille sur toute la terre ! "
Ut liberéntur dilécti tui, * salvum fac déxtera tua et exáudi me.;Afin que tes bien-aimés soient délivrés, sauve par ta droite et exauce-moi. 
"Deus locútus est in sancto suo:  «Exsultábo et dívidam Síchimam * et convállem Succoth dimétiar;";"Dieu a parlé dans sa sainteté : "" Je tressaillirai de joie ! J'aurai Sichem en partage, je mesurerai la vallée de Succoth."
meus est Gálaad et meus est Manásses  et Ephraim fortitúdo cápitis mei, * Iuda sceptrum meum. ;"Galaad est à moi, à moi Manassé ; Ephraïm est l'armure de ma tête, et Judas mon sceptre. "
"Moab lebes lavácri mei;  super Idumæam exténdam  calceaméntum meum, * super Philistæam vociferábor».";"Moab est le bassin où je me lave ; sur Edom je jette ma sandale, sur la terre des Philistins je pousse des cris de joie."" "
Quis dedúcet me in civitátem munítam? * Quis dedúcet me usque in Idumæam? ;Qui me mènera à la ville forte ! Qui me conduira à Edom ? 
Nonne, Deus, qui reppulísti nos? * Et non exíbis, Deus, in virtútibus nostris?;N'est-ce pas toi, ô Dieu, qui nous avais rejetés, ô Dieu qui ne sortais plus avec nos armées ?
Da nobis auxílium de tribulatióne, * quia vana salus hóminis. ;Prête-nous ton secours contre l'oppresseur ! Le secours de l'homme n'est que vanité. 
In Deo faciémus virtútem, * et ipse conculcábit inimícos nostros.;"Avec Dieu nous accomplirons des exploits ; il écrasera nos ennemis."
