Psalmus 97 (98) ;Psaume 97 (98)
Dominus victor in iudicio;Le Seigneur est victorieux dans sa justice
Hic psalmus priorem Domini adventum significat et fidem omnium gentium (S. Athanasius).;Ce psaume signifie la première venue du Seigneur et la foi des toute les nations (S. Athanase).
;
Cantáte Dómino cánticum novum, * quia mirabília fecit.;"Chantez au Seigneur un chant nouveau, car il a fait des merveilles ;"
Salvávit sibi déxtera eius, * et bráchium sanctum eius.;sa droite et son bras saints lui ont donné la victoire.
Notum fecit Dóminus salutáre suum, * in conspéctu géntium revelávit iustítiam suam.;"Il a révélé sa justice aux yeux des nations. Il s'est souvenu de sa bonté et de sa fidélité envers la maison d'Israël ;"
Recordátus est misericórdiæ suæ * et veritátis suæ dómui Israel.;Toutes les extrémités de la terre ont vu le salut de notre Dieu.
Vidérunt omnes términi terræ * salutáre Dei nostri.;Poussez vers le Seigneur des cris de joie, vous, habitants de toute la terre,
Iubiláte Deo, omnis terra, * erúmpite, exsultáte et psállite.;faites éclater votre allégresse au son des instruments !
"Psállite Dómino in cíthara, * in cíthara et voce psalmi;";Célébrez le Seigneur sur la harpe, sur la harpe et au son des cantiques !
in tubis ductílibus et voce tubæ córneæ, * iubiláte in conspéctu regis Dómini.;Avec les trompettes et au son du cor, poussez des cris de joie devant le Roi le Seigneur !
Sonet mare et plenitúdo eius, * orbis terrárum, et qui hábitant in eo.;Que la mer s'agite avec tout ce qu'elle renferme, que la terre et ses habitants fassent éclater leurs transports.
Flúmina plaudent manu, simul montes exsultábunt a conspéctu Dómini, * quóniam venit iudicáre terram.;Que les fleuves applaudissent, qu'ensemble les montagnes poussent des cris de joie,
Iudicábit orbem terrárum in iustítia * et pópulos in æquitáte.;"devant le Seigneur - car il vient pour juger la terre ; il jugera le monde avec justice, et les peuples avec équité."
