Psalmus 17 (18) 2-25;Psaume 17 (18) 2-25
Gratiarum actio pro salute et victoria;Action de grace pour le salut & la victoire
In illa hora factus est terraemotus magnus (Apc 11, 13).;Alors il y eut un grand tremblement de terre.
I;I
Diligam te, Domine, fortitudo mea.;Je t'aime, Seigneur, ma force!
"Domine, firmamentum meum et refugium meum et liberator meus; Deus meus, adiutor meus, et sperabo in eum; protector meus et cornu salutis meae et susceptor meus.";Seigneur mon rocher, ma forteresse, mon libérateur, mon Dieu, mon roc où je trouve un asile, mon bouclier, la corne de mon salut, ma citadelle!
Laudabilem invocabo Dominum, et ab inimicis meis salvus ero.;J'invoquai celui qui est digne de louange, le Seigneur, et je fus délivré de mes ennemis.
"Circumdederunt me fluctus mortis, et torrentes Belial conturbaverunt me;";Les liens de la mort m'environnaient, les torrents de Bélial m'épouvantaient,
funes inferni circumdederunt me, praeoccupaverunt me laquei mortis.;les liens du schéol m'enlaçaient, les filets de la mort étaient tombés devant moi.
"In tribulatione mea invocavi Dominum et ad Deum meum clamavi; exaudivit de templo suo vocem meam, et clamor meus in conspectu eius introivit in aures eius.";"Dans ma détresse, j'invoquai le Seigneur, et je criai vers mon Dieu; de son temple il entendit ma voix, et mon cri devant lui parvint à ses oreilles."
"Commota est et contremuit terra; fundamenta montium concussa sunt et commota sunt, quoniam iratus est.";"La terre fut ébranlée et trembla, les fondements des montagnes s'agitèrent, et ils furent ébranlés, parce qu'il était courroucé;"
"Ascendit fumus de naribus eius, et ignis de ore eius devorans; carbones succensi processerunt ab eo.";"une fumée montait de ses narines, et un feu dévorant sortait de sa bouche; il en jaillissait des charbons embrasés."
Inclinavit caelos et descendit, et caligo sub pedibus eius.;"il abaissa les cieux, et descendit; une sombre nuée était sous ses pieds."
Et ascendit super cherub et volavit, ferebatur super pennas ventorum.;"II monta sur un Chérubin, et il volait; il planait sur les ailes du vent."
Et posuit tenebras latibulum suum, in circuitu eius tabernaculum eius, tenebrosa aqua, nubes aeris.;Il fit des ténèbres sa retraite, sa tente autour de lui c'étaient des eaux obscures et de sombres nuages.
Prae fulgore in conspectu eius nubes transierunt, grando et carbones ignis.;De l'éclat qui le précédait s'élancèrent ses nuées, portant la gréle et les charbons ardents.
Et intonuit de caelo Dominus, et Altissimus dedit vocem suam: grando et carbones ignis.;Le Seigneur tonna dans les cieux, le Très-Haut fit retentir sa voix: grêle et charbons ardents!
Et misit sagittas suas et dissipavit eos, fulgura iecit et conturbavit eos.;"Il lança ses flèches et les dispersa; il multiplia ses foudres et il les confondit."
Et apparuerunt fontes aquarum, et revelata sunt fundamenta orbis terrarum ab increpatione tua, Domine, ab inspiratione spiritus irae tuae.;Alors le lit des eaux apparut, les fondements de la terre furent mis à nu, à ta menace, Seigneur, au souffle du vent de tes narines.
"Misit de summo et accepit me et assumpsit me de aquis multis;";Il étendit sa main d'en haut et me saisit, il me retira des grandes eaux.
eripuit me de inimicis meis fortissimis et ab his, qui oderunt me, quoniam confortati sunt super me.;II me délivra de mon ennemi puissant, de ceux qui me haïssaient, alors qu'ils étaient plus forts que moi.
"Oppugnaverunt me in die afflictionis meae, et factus est Dominus fulcimentum meum;";"Ils m'avaient surpris au jour de mon malheur; mais le Seigneur fut mon appui."
et eduxit me in latitudinem, salvum me fecit, quoniam voluit me.;II m'a mis au large, il m'a sauvé, parce qu'il s'est complu en moi.
Et retribuet mihi Dominus secundum iustitiam meam et secundum puritatem manuum mearum reddet mihi,;le Seigneur m'a récompensé selon ma justice, il m'a rendu selon la pureté de mes mains.
quia custodivi vias Domini nec impie recessi a Deo meo.;Car j'ai gardé les voies du seigneur, et je n'ai pas péché, pour m'éloigner de mon Dieu.
"Quoniam omnia iudicia eius in conspectu meo, et iustitias eius non reppuli a me;";"Tous ses jugements étaient devant moi; et je n'ai point rejeté loin de moi ses lois."
et fui immaculatus cum eo et observavi me ab iniquitate.;J'étais sans reproche envers lui, et je me tenais en garde contre mon iniquité.
Et retribuit mihi Dominus secundum iustitiam meam et secundum puritatem manuum mearum in conspectu oculorum eius.;Le Seigneur m'a rendu selon ma justice, selon la pureté de mes mains devant ses yeux.
