Psalmus 6;Psaume 6
Homo afflictus domini clementiam implorat;L'affligé implore la clémence du Seigneur
Nunc anima mea turbata est … Pater, salvifica me ex hora hac (Io 12, 27).;Maintenant, mon âme est troublée ... Père, sauve-moi de cette heure.
;
Dómine, ne in furóre tuo árguas me, * neque in ira tua corrípias me.;Seigneur, ne me punis pas dans ta colère, et ne me châtie pas dans ta fureur.
"Miserére mei, Dómine, quóniam infírmus sum; * sana me, Dómine, quóniam conturbáta sunt ossa mea.";"Aie pitié de moi, Seigneur, car je suis sans force; guéris-moi, Seigneur, car mes os sont tremblants."
Et ánima mea turbáta est valde, * sed tu, Dómine, úsquequo?;"Mon âme est dans un trouble extrême; et toi, Seigneur, jusques à quand?"
"Convértere, Dómine, éripe ánimam meam; * salvum me fac propter misericórdiam tuam.";"Reviens, Seigneur, délivre mon âme; sauve-moi à cause de ta miséricorde."
Quóniam non est in morte, qui memor sit tui, * in inférno autem quis confitébitur tibi?;"Car celui qui meurt n'a plus souvenir de toi; qui te louera dans le schéol?"
"Laborávi in gémitu meo, + lavábam per síngulas noctes lectum meum; * lácrimis meis stratum meum rigábam.";"Je suis épuisé à force de gémir; chaque nuit ma couche est baignée de mes larmes, mon lit est arrosé de mes pleurs."
Turbátus est a mæróre óculus meus, * inveterávi inter omnes inimícos meos.;"mon oeil est consumé par le chagrin; il a vieilli à cause de tous ceux qui me persécutent."
Discédite a me omnes, qui operámini iniquitátem, * quóniam exaudívit Dóminus vocem fletus mei.;Eloignez-vous de moi, vous tous qui faites le mal! Car le Seigneur a entendu la voix de mes larmes.
Exaudívit Dóminus deprecatiónem meam, * Dóminus oratiónem meam suscépit.;Le Seigneur a entendu ma supplication, Seigneur accueille ma prière.
"Erubéscant et conturbéntur veheménter omnes inimíci mei; * convertántur et erubéscant valde velóciter.";"Tous mes ennemis seront confondus et saisis d'épouvante; ils reculeront, soudain couverts de honte."
