Psalmus 135 (136);Psaume 135 (136)
Hymnus paschalis;Hymne pascale
Domini res gestas narrare laudare est (Cassiodorus ).;Raconter les hauts faits accomplis par le Seigneur, c’est le louer.  (Cassiodore ).
;
Confitémini Dómino, quóniam bonus, * quóniam in ætérnum misericórdia eius.;Célébrez le Seigneur, car il est bon, car sa miséricorde est éternelle.
Confitémini Deo deórum, * quóniam in ætérnum misericórdia eius. ;Célébrez le Dieu des dieux, car sa miséricorde est éternelle. 
Confitémini Dómino dominórum, * quóniam in ætérnum misericórdia eius.;Célébrez le Seigneur des seigneurs, car sa miséricorde est éternelle. 
Qui facit mirabília magna solus, * quóniam in ætérnum misericórdia eius. ;A celui qui seul opère de grands prodiges, car sa miséricorde est éternelle. 
Qui fecit cælos in intelléctu, * quóniam in ætérnum misericórdia eius. ;Qui a fait les cieux avec sagesse, car sa miséricorde est éternelle.
Qui expándit terram super aquas, * quóniam in ætérnum misericórdia eius.;Qui a étendu la terre sur les eaux, car sa miséricorde est éternelle.
"Qui fecit luminária magna, * quóniam in ætérnum misericórdia eius; ";Qui a fait les grands luminaires, car sa miséricorde est éternelle. 
"solem, ut præésset diéi, * quóniam in ætérnum misericórdia eius; ";Le soleil pour dominer sur le jour, car sa miséricorde est éternelle. 
lunam et stellas, ut præéssent nocti, * quóniam in ætérnum misericórdia eius.;La lune et les étoiles pour dominer sur la nuit, car sa miséricorde est éternelle
Qui percússit Ægyptum in primogénitis eórum, * quóniam in ætérnum misericórdia eius. ;A celui qui frappa les Egyptiens dans leurs premiers-nés, car sa miséricorde est éternelle. 
"Qui edúxit Israel de médio eórum, * quóniam in ætérnum misericórdia eius; ";Il fit sortir Israël du milieu d'eux, car sa miséricorde est éternelle. 
in manu poténti et bráchio exténto, * quóniam in ætérnum misericórdia eius.;D'une main forte et d'un bras étendu, car sa miséricorde est éternelle.
Qui divísit mare Rubrum in divisiónes, * quóniam in ætérnum misericórdia eius.;A celui qui divisa en deux la mer Rouge, car sa miséricorde est éternelle. 
Et tradúxit Israel per médium eius, * quóniam in ætérnum misericórdia eius.;Qui fit passer Israël au travers, car sa miséricorde est éternelle.
Et excússit pharaónem et virtútem eius  in mari Rubro, * quóniam in ætérnum misericórdia eius.;Et précipita Pharaon et son armée dans la mer Rouge, car sa miséricorde est éternelle. 
Qui tradúxit pópulum suum per desértum, * quóniam in ætérnum misericórdia eius.;A celui qui conduisit son peuple dans le désert, car sa miséricorde est éternelle.
"Qui percússit reges magnos, * quóniam in ætérnum misericórdia eius; ";Qui frappa de grands rois, car sa miséricorde est éternelle. 
et occídit reges poténtes, * quóniam in ætérnum misericórdia eius. ;Et fit périr des rois puissants, car sa miséricorde est éternelle. 
"Sehon regem Amorræórum, * quóniam in ætérnum misericórdia eius; ";Séhon, roi des Amorrhéens, car sa miséricorde est éternelle. 
et Og regem Basan, * quóniam in ætérnum misericórdia eius.;Et Og, roi de Basan, car sa miséricorde est éternelle.
"Et dedit terram eórum hereditátem, * quóniam in ætérnum misericórdia eius;";Qui donna leur pays en héritage, car sa miséricorde est éternelle.
hereditátem Israel servo suo, * quóniam in ætérnum misericórdia eius.;En héritage à Israël, son serviteur, car sa miséricorde est éternelle. 
"Qui in humilitáte nostra memor fuit nostri, * quóniam in ætérnum misericórdia eius; ";A celui qui se souvint de nous quand nous étions humiliés, car sa miséricorde est éternelle. 
et redémit nos ab inimícis nostris, * quóniam in ætérnum misericórdia eius. ;Et nous délivra de nos oppresseurs, car sa miséricorde est éternelle.
Qui dat escam omni carni, * quóniam in ætérnum misericórdia eius. ;A celui qui donne à tout ce qui vit la nourriture, car sa miséricorde est éternelle. 
Confitémini Deo cæli, * quóniam in ætérnum misericórdia eius.;Célébrez le Dieu des cieux, car sa miséricorde est éternelle.
