Psalmus 93 (94);Psaume 93 (94)
Dominus iustorum ultor;Le Seigneur venge les justes
Vindex est Dominus de his omnibus: ...non enim vocavit nos Deus in immunditia, sed in sanctificatione (Cf. 1 Th 4, 6-7).;"Le Seigneur tire vengeance de tout cela ; car Dieu ne nous a pas appelés à l’impureté, mais àlasanctification. (Cf. 1 Th 4, 6-7)."
I;I
Deus ultiónum, Dómine, * Deus ultiónum, effúlge. ;Dieu des vengeances, le Seigneur, Dieu des vengeances, parais ! 
Exaltáre, qui iúdicas terram, * redde retributiónem supérbis.;Lève-toi, juge de la terre, rends aux superbes selon leurs œuvres ! 
Usquequo peccatóres, Dómine, * úsquequo peccatóres exsultábunt?;Jusques à quand les méchants, le Seigneur, jusques à quand les méchants triompheront-ils ?
Effabúntur et loquéntur protérva, * gloriabúntur omnes,  qui operántur iniquitátem.;Ils se répandent en discours arrogants, ils se glorifient, tous ces artisans d'iniquité. 
Pópulum tuum, Dómine, humíliant * et hereditátem tuam vexant. ;le Seigneur, ils écrasent ton peuple, ils oppriment ton héritage, 
Víduam et ádvenam interfíciunt * et pupíllos occídunt. ;ils égorgent la veuve et l'étranger, ils massacrent les orphelins. 
Et dixérunt: «Non vidébit Dóminus, * nec intélleget Deus Iacob» .;"Et ils disent : "" le Seigneur ne regarde pas, le Dieu de Jacob ne fait pas attention. """
Intellégite, insipiéntes in pópulo, * et, stulti, quando sapiétis? ;Comprenez donc, stupides enfants du peuple ! Insensés, quand aurez-vous l'intelligence ? 
Qui plantávit aurem, non áudiet, * aut qui finxit óculum, non respíciet?;Celui qui a planté l'oreille n'entendrait-il pas ? Celui qui a formé l'œil ne verrait-il pas ? 
Qui córripit gentes, non árguet, * qui docet hóminem sciéntiam? ;Celui qui châtie les nations ne punirait-il pas ? 
Dóminus scit cogitatiónes hóminum * quóniam vanæ sunt.;Celui qui donne à l'homme l'intelligence ne reconnaîtrait-il pas ? 
