Psalmus 64 (65);Psaume 64 (65)
Sollemnis gratiarum actio;Action de grâce solennelle
In Sion intellege cælicam civitatem (Origenes).;Par Sion il faut entendre la cité céleste (Origène).
;
"Te decet hymnus, Deus, in Sion; * et tibi reddétur votum in Ierúsalem.";"A toi est due la louange, ô Dieu, dans Sion; c'est en ton honneur qu'on accomplit les voeux. "
Qui audis oratiónem, * ad te omnis caro véniet propter iniquitátem.;O toi, qui écoutes la prière, tous les hommes viennent à toi. 
Etsi prævaluérunt super nos impietátes nostræ, * tu propitiáberis eis.;Un amas d'iniquités pesait sur moi : tu pardonnes nos transgressions. 
"Beátus, quem elegísti et assumpsísti; * inhabitábit in átriis tuis.";Heureux celui que tu choisis et que tu rapproches de toi. pour qu'il habite dans tes parvis !
Replébimur bonis domus tuæ, * sanctitáte templi tui.;Puissions-nous être rassasiés des biens de ta maison, de ton saint temple ! 
Mirabíliter in æquitáte exáudies nos, Deus salútis nostræ, * spes ómnium fínium terræ et maris longínqui.;Par des prodiges, tu nous exauces dans ta justice, Dieu de notre salut, espoir des extrémités de la terre, et des mers lointaines. 
Firmans montes in virtúte tua, * accínctus poténtia.;"Il affermit les montagnes par sa force, il est ceint de sa puissance ; "
Compéscens sónitum maris, sónitum flúctuum eius * et tumúltum populórum.;il apaise la fureur des mers, la fureur de leurs flots, et le tumulte des peuples.
"Et timébunt, qui hábitant términos terræ, a signis tuis; * éxitus oriéntis et occidéntis delectábis.";Les habitants des pays lointains craignent devant tes prodiges, tu réjouis les extrémités, l'Orient et l'Occident. 
"Visitásti terram et inebriásti eam; * multiplicásti locupletáre eam.";"Tu as visité la terre pour lui donner l'abondance, tu la combles de richesses ;"
"Flumen Dei replétum est aquis; parásti fruménta illórum, * quóniam ita parásti eam.";la source divine est remplie d'eau : tu prépares le blé, quand tu la fertilises ainsi. 
"Sulcos eius írrigans, glebas eius complánans; * ímbribus emóllis eam, benedícis gérmini eius.";Arrosant ses sillons, aplanissant ses mottes, tu l'amollis par des ondées, tu bénis ses germes. 
Coronásti annum benignitáte tua, * et vestígia tua stillábunt pinguédinem.;Tu couronnes l'année de tes bienfaits, sur tes pas ruisselle la graisse. 
Stillábunt páscua desérti, * et exsultatióne colles accingéntur.;Les pâturages du désert sont abreuvés, et les collines se revêtent d'allégresse. 
"Indúta sunt óvibus prata, et valles abundábunt fruménto; * clamábunt, étenim hymnum dicent.";"Les prairies se couvrent de troupeaux, et les vallées se parent d'épis ; tout se réjouit et chante."
