Canticum (Is 40, 10-17) AT25;Cantique (Is 40, 10-17) AT25
Pastor bonus: Deus altissimus et sapientissimus;Le bon pasteur : Dieu très haut et trsè grand
Ecce venio cito, et merces mea mecum est (Ap 22, 12).;Voici que je viens bientôt et ma rétribution avec moi (Ap 22, 12).

"Ecce Dóminus Deus in virtúte venit, * et bráchium eius dominátur;";"Voici que le Seigneur Dieu vient avec puissance, et Son bras dominera; "
ecce merces eius cum eo * et præmium illíus coram illo.;Sa récompense est avec Lui, et Son oeuvre est devant Lui.
"Sicut pastor gregem suum pascit, in bráchio suo cóngregat agnos et in sinu suo levat; * fetas ipse portat.";"Comme un pasteur Il fera paître Son troupeau; Il réunira les agneaux dans Ses bras, et Il les prendra dans Son sein; Il portera Lui-même les brebis pleines."
Quis mensus est pugíllo aquas et cælos palmo dispósuit, módio contínuit púlverem terræ et librávit in póndere montes * et colles in statéra?;Qui a mesuré les eaux dans le creux de Sa main, et qui a pesé les cieux dans Sa paume? qui soutient de trois doigts la masse de la terre? qui a pesé les montagnes avec un poids et les collines dans la balance?
Quis diréxit spíritum Dómini? * Aut quis consílium suum osténdit illi?;Qui a aidé l'Esprit du Seigneur? Qui a été Son conseiller et Lui a montré ce qu'Il devait faire?
Cum quo íniit consílium et instrúxit eum * et dócuit eum sémitam iustítiæ;Qui a-t-Il consulté pour en recevoir de l'instruction? Qui Lui a appris le sentier de la justice?
et erudívit eum sciéntiam * et viam prudéntiæ osténdit illi?;Qui Lui a enseigné la science? Qui Lui a montré le chemin de la sagesse?
"Ecce gentes quasi stilla sítulæ et quasi moméntum púlveris in statéra reputántur; * ecce ínsulæ quasi pulvis exíguus.";"Voici, les nations sont comme la goutte d'un seau, et comme un grain dans la balance; les îles sont comme une fine poussière."
Et Líbanus non suffíciet ad succendéndum, * et animália eius non suffícient ad holocáustum.;Le Liban ne suffirait pas pour le bûcher, et ses animaux ne suffiraient pas pour l'holocauste.
"Omnes gentes, quasi non sint, coram eo; * quasi níhilum et ináne reputántur ab eo.";Tous les peuples sont devant Lui comme s'ils n'étaient pas, et Il les regarde comme un rien et un néant.
