Psalmus 26 (27);Psaume 26 (27)
In periculis fiducia;Confiance dans le danger
Ecce tabernaculum Dei cum hominibus (Ap 21, 3).;Voici le tabernacle de Dieu avec les hommes (Ap 21, 3).
I;I
Dóminus illuminátio mea et salus mea, * quem timébo? + Dóminus protéctor vitæ meæ, * a quo trepidábo?;Le Seigneur est ma lumière et mon salut : qui craindrais-je? Le Seigneur est le rempart de ma vie : de qui aurais-je peur? 
"Dum apprópiant super me nocéntes, * ut edant carnes meas; ";"Quand des méchants se sont avancés contre moi, pour dévorer ma chair; "
qui tríbulant me et inimíci mei, * ipsi infirmáti sunt et cecidérunt.;quand mes adversaires et mes ennemis se sont avancés, ce sont eux qui ont chancelé et qui sont tombés. 
"Si consístant advérsum me castra, * non timébit cor meum; ";"Qu'une armée vienne camper contre moi, mon coeur ne craindra point;"
si exsúrgat advérsum me proelium, * in hoc ego sperábo.;que contre moi s'engage le combat, alors même j'aurai confiance. 
Unum pétii a Dómino, hoc requíram: * ut inhábitem in domo Dómini ómnibus diébus vitæ meæ,;Je demande au Seigneur une chose, je la désire ardemment : je voudrais habiter dans la maison du Seigneur, tous les jours de ma vie, 
ut vídeam voluptátem Dómini * et vísitem templum eius.;pour jouir des amabilités du Seigneur, pour contempler son sanctuaire. 
Quóniam occultábit me in tentório suo, * in die malórum. ;Car il m'abritera dans sa demeure au jour de l'adversité,
Abscóndet me in abscóndito tabernáculi sui, * in petra exaltábit me. ; il me cachera dans le secret de sa tente, il m'établira sur un rocher. 
Et nunc exaltátur caput meum * super inimícos meos in circúitu meo. ;"ma tête s'élèvera au-dessus des ennemis; qui sont autour de moi."
Immolábo in tabernáculo eius hóstias vociferatiónis, * cantábo et psalmum dicam Dómino.;J'offrirai dans son tabernacle des sacrifices d'actions de grâces, je chanterai et je dirai des hymnes au Seigneur. 
