Psalmus 60 (61);Psaume 60 (61)
Exsulis oratio;Prière de l’exilé
Oratio iusti æterna sperantis (S. Hilarius).;Prière du juste attendant l’éternité (S. Hilaire).
Exáudi, Deus, deprecatiónem meam, * inténde oratióni meæ.;O Dieu, entends mes cris, sois attentif à ma prière. 
A fínibus terræ ad te clamávi, dum anxiarétur cor meum. * In petram inaccéssam mihi deduc me!;"De l'extrémité de la terre je crie vers toi, dans l'angoisse de mon coeur; conduis-moi sur le rocher que je ne puis atteindre. "
Quia factus es spes mea, * turris fortitúdinis a fácie inimíci.;Car tu es pour moi un refuge, une tour puissante contre l'ennemi. 
Inhabitábo in tabernáculo tuo in sæcula, * prótegar in velaménto alárum tuárum,;Je voudrais demeurer à jamais dans ta tente, me réfugier à l'abri de tes ailes ! - Séla. 
quóniam tu, Deus meus, exaudísti vota mea, * dedísti hereditátem timéntium nomen tuum.;Car toi, ô Dieu, tu exauces mes,voeux, tu m'as donné l'héritage de ceux qui révèrent ton nom. 
Dies super dies regis adícies, * annos eius usque in diem generatiónis et generatiónis.;Ajoute des jours aux jours du roi, que ses années se prolongent d'âge en âge !
"Sédeat in ætérnum in conspéctu Dei; * misericórdia et véritas servent eum.";Qu'il demeure sur le trône éternellement devant Dieu ! Ordonne à ta bonté et à ta vérité de le garder !
Sic psalmum dicam nómini tuo in sæculum sæculi, * ut reddam vota mea de die in diem.;Alors je célébrerai ton nom à jamais, et j'accomplirai mes voeux chaque jour.
