Psalmus 37;Psaume 37
Obsecratio paccatoris in extremo periculo constituti;Supplication du pécheur dans un péril extrême
Stabant omnes noti eius a longe (Lc 23, 49);Tous ses amis se tenaient à distance.
;
Dómine, ne in furóre tuo árguas me, * neque in ira tua corrípias me,; Yahweh, ne me punis pas dans ta colère,  et ne me châtie pas dans ta fureur.
quóniam sagíttæ tuæ infíxæ sunt mihi, * et descéndit super me manus tua.; Car tes flèches m'ont atteint,  et ta main s'est appesantie sur moi.
Non est sánitas in carne mea a fácie indignatiónis tuæ, * non est pax óssibus meis a fácie peccatórum meórum.; Il n'y a rien de sain dans ma chair à cause de ta colère,  il n'y a rien de sauf dans mes os à cause de mon péché.
Quóniam iniquitátes meæ supergréssæ sunt caput meum * et sicut onus grave gravant me nimis.;" Car mes iniquités s'élèvent au-dessus de ma tête;  comme un lourd fardeau, elles m'accablent de leur poids."
Putruérunt et corrúpti sunt livóres mei * a fácie insipiéntiæ meæ.; Mes meurtrissures sont infectes et purulentes,  par l'effet de ma folie.
"Inclinátus sum et incurvátus nimis; * tota die contristátus ingrediébar.";" Je suis courbé, abattu à l'excès;  tout le jour je marche dans le deuil."
Quóniam lumbi mei impléti sunt ardóribus, * et non est sánitas in carne mea.; Un mal brûlant dévore mes reins,  et il n'y a rien de sain dans ma chair.
Afflíctus sum et humiliátus sum nimis, * rugiébam a gémitu cordis mei.;" Je suis sans force, brisé outre mesure;  le trouble de mon coeur m'arrache des gémissements."
Dómine, ante te omne desidérium meum, * et gémitus meus a te non est abscónditus.; Seigneur, tous mes désirs sont devant toi,  et mes soupirs ne te sont pas cachés.
Palpitávit cor meum, derelíquit me virtus mea, * et lumen oculórum meórum, et ipsum non est mecum.; Mon coeur palpite, ma force m'abandonne,  et la lumière même de mes yeux n'est plus avec moi.
Amíci mei et próximi mei procul a plaga mea stetérunt, * et propínqui mei de longe stetérunt.;" Mes amis et mes compagnons s'éloignent de ma plaie;  et mes proches se tiennent à l'écart."
Et láqueos posuérunt, qui quærébant ánimam meam, + et, qui requirébant mala mihi, locúti sunt insídias * et dolos tota die meditabántur.;" Ceux qui en veulent à ma vie tendent leurs pièges;  ceux qui cherchent mon malheur profèrent des menaces,  et tout le jour ils méditent des embûches."
"Ego autem tamquam surdus non audiébam * et sicut mutus non apériens os suum;";" Et moi, je suis comme un sourd, je n'entends pas;  je suis comme un muet, qui n'ouvre pas la bouche."
et factus sum sicut homo non áudiens * et non habens in ore suo redargutiónes.; Je suis comme un homme qui n'entend pas,  et dans la bouche duquel il n'y a point de réplique.
Quóniam in te, Dómine, sperávi, * tu exáudies, Dómine Deus meus.;" C'est en toi, Yahweh, que j'espère;  toi, tu répondras, Seigneur, mon Dieu!"
"Quia dixi: «Nequándo supergáudeant mihi; * dum commovéntur pedes mei, magnificántur super me».";" Car je dis: "" Qu'ils ne se réjouissent pas à mon sujet,  qu'ils ne s'élèvent pas contre moi, si mon pied chancelle. """
Quóniam ego in lapsum parátus sum, * et dolor meus in conspéctu meo semper.; Car je suis près de tomber,  Et ma douleur est toujours devant moi.
Quóniam iniquitátem meam annuntiábo * et sollícitus sum de peccáto meo.; Car je confesse mon iniquité,  Je suis dans la crainte à cause de mon péché.
Inimíci autem mei vivunt et confirmáti sunt, * et multiplicáti sunt, qui odérunt me iníque.;" Et mes ennemis sont pleins de vie, ils sont puissants;  Ceux qui me haïssent sans cause se sont multipliés."
Retribuéntes mala pro bonis detrahébant mihi * pro eo quod sequébar bonitátem.;" Ils me rendent le mal pour le bien;  ils me sont hostiles, parce que je cherche la justice."
"Ne derelínquas me, Dómine; * Deus meus, ne discésseris a me."; Ne m'abandonne pas, Yahweh!  Mon Dieu, ne t'éloigne pas de moi!
Festína in adiutórium meum, * Dómine, salus mea.; Hâte-toi de me secourir,  Seigneur, toi qui es mon salut!
