Canticum (Ier 31, 10-14);Cantique (Ier 31, 10-14)
Populi liberati felicitas AT 36;Félicité du peuple libéré AT 36
Iesus moriturus erat... ut filios Dei, qui erant dispersi, congregaret in unum (Io 11, 51. 52).;Jésus devait mourir... afin de réunir en un seul corps les enfants de Dieu dispersés (Io 11, 51. 52).
;
Audíte verbum Dómini, gentes, * et annuntiáte in ínsulis, quæ procul sunt, et dícite: ;"Nations, écoutez la parole du Seigneur Et annoncez-la aux îles lointaines; Dites:"
«Qui dispérsit Israel, congregábit eum * et custódiet eum sicut pastor gregem suum».;"""Celui qui a dispersé Israël le rassemblera Et le gardera comme un berger son troupeau. "
Redémit enim Dóminus Iacob * et liberávit eum de manu potentióris. ;"Car le Seigneur a racheté Jacob, Il l'a délivré des mains d'un plus fort que lui."" "
Et vénient et laudábunt in monte Sion * et cónfluent ad bona Dómini,;"Ils viennent donc et poussent des cris de triomphe Sur les hauteurs de Sion; Ils affluent vers les biens du Seigneur,"
"super fruménto et vino et óleo * et fetu pécorum et armentórum; ";"Le blé, le vin nouveau, l'huile, les brebis et les boeufs;"
erítque ánima eórum quasi hortus irríguus, * et ultra non esúrient.;Leur âme est comme un jardin arrosés Et ils ont cessé de languir.
Tunc lætábitur virgo in choro, * iúvenes et senes simul.;"Alors la jeune fille s'égaiera à la danse, Et les jeunes hommes et les vieillards ensemble;"
«Et convértam luctum eórum in gáudium * et consolábor eos et lætificábo a dolóre suo.;"«  Je changerai leur deuil en joie, et je les consolerai; A leur douleur je ferai succéder l'allégresse. "
Et inebriábo ánimam sacerdótum pinguédine, * et pópulus meus bonis meis adimplébitur».;Je rassasierai de graisse l'âme des prêtres, Et mon peuple se rassasiera de mes biens, »
