Psalmus 137 (138);Psaume 137 (138)
Gratiarum actio;Action de grâce
Reges terrae afferent gloriam suam et honorem in civitatem sanctam (Cf. Ap 21, 24).;Les rois de la terre apporteront leur gloire et leur honneur à la cité sainte (Cf. Ap 21, 24).
;
Confitébor tibi, Dómine, in toto corde meo, * quóniam audísti verba oris mei.;Je vous célébrerai, Seigneur, de tout mon cœur, parce que vous avez écouté les paroles de ma bouche
"In conspéctu angelórum psallam tibi, * adorábo ad templum sanctum tuum; ";"Je vous chanterai des hymnes en présence des anges ; j'adorerai dans votre saint temple."
et confitébor nómini tuo  propter misericórdiam tuam et veritátem tuam, * quóniam magnificásti super omne nomen  elóquium tuum.;Et je célèbrerai votre nom à cause de ta miséricorde et de ta vérité, parce que tu as fait une promesse magnifique, au-dessus de toutes les gloires de ton nom. 
"In quacúmque die invocávero te, exáudi me; * multiplicábis in ánima mea virtútem. ";Le jour où je t'ai invoqué, tu m'as exaucé, tu as rendu à mon âme la force et le courage. 
Confitebúntur tibi, Dómine, omnes reges terræ, * quia audiérunt elóquia oris tui. ;Tous les rois de la terre te loueront, le Seigneur, quand ils auront appris les oracles de ta bouche. 
"Et cantábunt vias Dómini, * quóniam magna est glória Dómini; ";Ils célébreront les voies du Seigneur, car la gloire du Seigneur est grande. 
quóniam excélsus Dóminus,  et húmilem réspicit, * et supérbum a longe cognóscit.;Car le Seigneur est élevé, et il voit les humbles, et il connaît de loin les orgueilleux. 
"Si ambulávero in médio tribulatiónis,  vivificábis me;  et contra iram inimicórum meórum  exténdes manum tuam, * et salvum me fáciet déxtera tua. ";Si je marche en pleine détresse, tu me rends la vie, tu étends ta main pour arrêter la colère de mes ennemis, et ta droite ma sauve. 
"Dóminus perfíciet pro me;  Dómine, misericórdia tua in sæculum: * ópera mánuum tuárum ne despícias.";le Seigneur achèvera ce qu'il a fait pour moi. Seigneur, ta bonté est éternelle: n'abandonne pas l'ouvrage de tes mains!
