Psalmus 68 (69);Psaume 68 (69)
Zelus domus tuae comedit me;Le zèle de ta maison me dévore
Dederunt ei vinum bibere cum felle mixtum (Mt 27, 34);Ils lui donnèrent à boire du vin mêlé de fiel.
;
Salvum me fac, Deus, * quoniam venerunt aquae usque ad guttur meum.;Sauve-moi, ô Dieu,  car les eaux montent jusqu'à mon âme.
"Infixus sum in limo profundi, et non est substantia; * veni in profunda aquarum, et fluctus demersit me.";Je suis enfoncé dans une fange profonde,  et il n'y a pas où poser le pied.  Je suis tombé dans un gouffre d'eau,  et les flots me submergent.
"Laboravi clamans, raucae factae sunt fauces meae; * defecerunt oculi mei, dum spero in Deum meum.";"Je m'épuise à crier; mon gosier est en feu;  mes yeux se consument dans l'attente de mon Dieu."
Multiplicati sunt super capillos capitis mei, * qui oderunt me gratis.;"Ils sont plus nombreux que les cheveux de ma tête,  ceux qui me haïssent sans cause; "
"Confortati sunt, qui persecuti sunt me * inimici mei mendaces; quae non rapui, tunc exsolvebam."; ils sont puissants ceux qui veulent me perdre,  qui sont sans raison mes ennemis.  Ce que je n'ai pas dérobé, il faut que je le rende.
Deus, tu scis insipientiam meam, * et delicta mea a te non sunt abscondita.;O Dieu, tu connais ma folie,  et mes fautes ne te sont pas cachées.
Non erubescant in me, qui exspectant te,*  Domine, Domine virtutum.;Que ceux qui espèrent en toi n'aient pas à rougir à cause de moi,  Seigneur, Yahweh des armées!  
Non confundantur super me, * qui quaerunt te, Deus Israel.;Que ceux qui te cherchent ne soient pas confondus à mon sujet,  Dieu d'Israel!
"Quoniam propter te sustinui opprobrium, * operuit confusio faciem meam;";Car c'est pour toi que je porte l'opprobre,  que la honte couvre mon visage.
extraneus factus sum fratribus meis * et peregrinus filiis matris meae.;Je suis devenu un étranger pour mes frères,  un inconnu pour les fils de ma mère.
Quoniam zelus domus tuae comedit me, * et opprobria exprobrantium tibi ceciderunt super me.;Car le zèle de ta maison me dévore,  et les outrages de ceux qui t'insultent retombent sur moi.
Et flevi in ieiunio animam meam, * et factum est in opprobrium mihi.;Je verse des larmes et je jeûne:  on m'en fait un sujet d'opprobre.
Et posui vestimentum meum cilicium, * et factus sum illis in parabolam.;Je prends un sac pour vêtement,  et je suis l'objet de leurs sarcasmes.
Adversum me loquebantur, qui sedebant in porta, * et in me canebant, qui bibebant vinum.;Ceux qui sont assis à la porte parlent de moi,  et les buveurs de liqueurs fortes font sur moi des chansons.
Ego vero orationem meam ad te, Domine, * in tempore beneplaciti, Deus.;"Et moi, je t'adresse ma prière, Yahweh;  dans le temps favorable, ô Dieu, "
In multitudine misericordiae tuae exaudi me, * in veritate salutis tuae.;selon ta grande bonté,  exauce-moi selon la vérité de ton salut.
Eripe me de luto, ut non infigar, + eripiar ab iis, qui oderunt me, * et de profundis aquarum.;"Retire-moi de la boue et que je n'y reste plus enfoncé;  que je sois délivré de mes ennemis et des eaux profondes!"
