Psalmus 66 (67) ;Psaume 66 (67) 
Omnes gentes Domino confiteantur;Toutes les nations rendront gloire au Seigneur
Notum sit vobis quoniam gentibus missum est hoc salutare Dei (Act 28, 28).;Sachez que le salut de Dieu a été envoyé aux gentils (Act 28, 28).
;
"Deus misereátur nostri et benedícat nobis; * illúminet vultum suum super nos,";Que Dieu nous soit favorable et qu'il nous bénisse ! qu'il fasse luire sur nous sa face, 
ut cognoscátur in terra via tua, * in ómnibus géntibus salutáre tuum.;afin que l'on connaisse sur la terre ta voie, et parmi toutes les nations ton salut ! 
"Confiteántur tibi pópuli, Deus; * confiteántur tibi pópuli omnes.";Que les peuples te louent, ô Dieu, que les peuples te louent tous ! 
Læténtur et exsúltent gentes, quóniam iúdicas pópulos in æquitáte * et gentes in terra dírigis.;Que les nations se réjouissent, qu'elles soient dans l'allégresse ! car tu juges les peuples avec droiture, et tu conduis les nations sur la terre. 
Confiteántur tibi pópuli, Deus, * confiteántur tibi pópuli omnes.;Que les peuples te louent, ô Dieu, que les peuples te louent tous !
"Terra dedit fructum suum; * benedícat nos Deus, Deus noster,";"La terre a donné ses produits ; que Dieu, notre Dieu, nous bénisse ! "
benedícat nos Deus, * et métuant eum omnes fines terræ.; Que Dieu nous bénisse, et que toutes les extrémités de la terre le révèrent !
