II;II
;
;
;
Tu conscidísti in virtúte tua mare, * contribulásti cápita dracónum in aquis.;C'est toi qui as divisé la mer par ta puissance, toi qui as brisé la tête des monstres dans les eaux. 
Tu confregísti cápita Levíathan, * dedísti eum escam monstris maris.;C'est toi qui as écrasé les têtes de Léviathan, et l'as donné en pâture au peuple du désert. 
"Tu dirupísti fontes et torréntes; * tu siccásti flúvios perénnes.";C'est toi qui as fait jaillir la source et le torrent, toi qui as mis à sec les fleuves qui ne tarissent pas.
Tuus est dies et tua est nox, * tu fabricátus es luminária et solem.;"A toi est le jour, à toi est la nuit ; c'est toi qui as créé la lune et le soleil. "
Tu statuísti omnes términos terræ, * æstátem et híemem, tu plasmásti ea.;"C'est toi qui as fixé toutes les limites de la terre ; l'été et l'hiver, c'est toi qui les a établis. "
Memor esto huius: inimícus improperávit Dómino, * et pópulus insípiens sprevit nomen tuum.; Souviens-toi : l'ennemi insulte le Seigneur, un peuple insensé blasphème ton nom ! 
Ne tradas béstiis ánimas confiténtes tibi * et ánimas páuperum tuórum ne obliviscáris in finem.;Ne livre pas aux bêtes l'âme de ta tourterelle, n'oublie pas pour toujours la vie de tes pauvres. 
Réspice in testaméntum, * quia repléta sunt latíbula terræ tentóriis violéntiæ.;Prends garde à ton alliance ! car tous les coins du payssont pleins de repaires de violence. 
"Ne revertátur húmilis factus confúsus; * pauper et inops laudábunt nomen tuum.";Que l'opprimé ne s'en retourne pas confus, que le malheureux et le pauvre puissent bénir ton nom ! 
"Exsúrge, Deus, iúdica causam tuam; memor esto improperiórum tuórum, * quæ ab insipiénte fiunt tota die.";"Lève-toi, ô Dieu, prends en main ta cause ; souviens-toi des outrages que t'adresse chaque jour l'insensé. "
"Ne obliviscáris voces inimicórum tuórum; * tumúltus adversariórum tuórum ascéndit semper.";N'oublie pas les clameurs de tes adversaires, l'insolence toujours croissante de ceux qui te haïssent.
