Psalmus 75 (76);Psaume 75 (76)
Gratiarum actio pro victoria;Action de grâce pour la victoire
Videbunt Filium hominis venientem in nubibus coeli (Mt 24, 30).;Tous verront le Fils de l'homme venir sur les nuées du ciel. Mt 24, 30
;
Notus in Iudæa Deus, * in Israel magnum nomen eius.;Dieu s'est fait connaître en Juda, en Israël son nom est grand. 
Et est in Salem tabernáculum eius, * et habitátio eius in Sion.;II a son tabernacle à Salem, et sa demeure en Sion. 
Ibi confrégit coruscatiónes arcus, * scutum, gládium et bellum.;C'est là qu'il a brisé les éclairs de l'arc, le bouclier, l'épée et la guerre. - Séla. 
Illúminans tu, Mirábilis, * a móntibus direptiónis.;Tu resplendis dans ta majesté, sur les montagnes d'où tu fonds sar ta proie. 
Spoliáti sunt poténtes corde, dormiérunt somnum suum, * et non invenérunt omnes viri fortes manus suas.;"Ils ont été dépouillés, ces héros pleins de coeur ; ils se sont endormis de leur sommeil, ils n'ont pas su, tous ces vaillants, se servir de leurs bras. "
Ab increpatióne tua, Deus Iacob, * dormitavérunt auríga et equus.;A ta menace, Dieu de Jacob, char et coursier sont restés immobiles. 
Tu terríbilis es, et quis resístet tibi? * Ex tunc ira tua.;Tu es redoutable, toi! Qui peut se tenir devant toi, quand ta colère éclate? 
"De cælo audítum fecísti iudícium; * terra trémuit et quiévit,";"Du haut du ciel tu as proclamé la sentence ; la terre a tremblé et s'est tue, "
cum exsúrgeret in iudícium Deus, * ut salvos fáceret omnes mansuétos terræ.;lorsque Dieu s'est levé pour faire justice, pour sauver tous les malheureux du pays. - Séla. 
Quóniam furor hóminis confitébitur tibi, * et relíquiæ furóris diem festum agent tibi.;Ainsi la fureur de l'homme tourne à la gloire et les restes de ta colère...
"Vovéte et réddite Dómino Deo vestro; * omnes in circúitu eius áfferant múnera Terríbili,";"Faites des voeux et acquittez-les au Seigneur, votre Dieu ; que tous ceux qui l'environnent apportent des dons au Dieu terrible!"
ei, qui aufert spíritum príncipum, * terríbili apud reges terræ.;II abat l'orgueil des puissants, il est redoutable aux rois de la terre.
