Psalmus 10 (11);Psaume 10 (11)
Dominus fiducia iusti;Le Seigneur, confiance des justes
Beati, qui esuriunt et sitiunt iustitiam, quoniam ipsi saturabuntur (Mt 5, 6).;Heureux les affamés et les assoifés de justice, car ils seront rassasiés (Mt 5, 6).
;
In Dómino confído, quómodo dícitis ánimæ meæ: * «Tránsmigra in montem sicut passer?;"Dans le Seigneur je me confie ; comment dites-vous à mon âme : "" Fuyez à votre montagne, comme l'oiseau. "
Quóniam ecce peccatóres intendérunt arcum, paravérunt sagíttas suas super nervum, * ut sagíttent in obscúro rectos corde. ;Car voici que les méchants bandent l'arc, ils ont ajusté leur flèche sur la corde, pour tirer dans l'ombre sur les hommes au coeur droit. 
Quando fundaménta evertúntur, * iustus quid fáciat?».;"Quand les fondements sont renversés, que peut faire le juste? "" "
Dóminus in templo sancto suo, * Dóminus, in cælo sedes eius. ;le Seigneur est dans son saint temple, le Seigneur, qui a son trône dans les cieux,
Oculi eius in páuperem respíciunt, * pálpebræ eius intérrogant fílios hóminum. ;"Il a les yeux ouverts; ses paupières sondent les enfants des hommes."
"Dóminus intérrogat iustum et ímpium; * qui autem díligit iniquitátem, odit ánima eius. ";"le Seigneur sonde le juste ; il hait le méchant et celui qui se plait à la violence. "
"Pluet super peccatóres carbónes; * ignis et sulphur et spíritus procellárum pars cálicis eórum.";"Il fera pleuvoir sur les méchants des lacets, du feu et du soufre; un vent brûlant, voilà la coupe qu'ils auront en partage. "
Quóniam iustus Dóminus et iustítias diléxit, * recti vidébunt vultum eius.;"Car le Seigneur est juste, il aime la justice; les hommes droits contempleront sa face. "
