Psalmus 93 (94);Psaume 93 (94)
Dominus iustorum ultor;Le Seigneur venge les justes
Vindex est Dominus de his omnibus : non enim vocavit nos Deux in immunditia, sed in sanctificatione (1 Thess 4, 6-7);"Le Seigneur tire vengeance de tout cela ; car Dieu ne nous a pas appelés à l'impureté, mais à la sanctification."
;
Deus ultionum, Domine, * Deus ultionum, effulge.;Dieu des vengeances, Yahweh,  Dieu des vengeances, parais!
Exaltare, qui iudicas terram, * redde retributionem superbis.;Lève-toi, juge de la terre,  rends aux superbes selon leurs oeuvres!
Usquequo peccatores, Domine, * usquequo peccatores exsultabunt?;Jusques à quand les méchants, Yahweh,  jusques à quand les méchants triompheront-ils?
Effabuntur et loquentur proterva, * gloriabuntur omnes, qui operantur iniquitatem ?;Ils se répandent en discours arrogants,  ils se glorifient, tous ces artisans d'iniquité.
Populum tuum, Domine, humiliant * et hereditatem tuam vexant.;Yahweh, ils écrasent ton peuple,  ils oppriment ton héritage,
Viduam et advenam interficiunt * et pupillos occidunt.;ils égorgent la veuve et l'étranger,  ils massacrent les orphelins.
"Et dixerunt: "" Non videbit Dominus, * nec intelleget Deus Iacob "".";"Et ils disent: "" Yahweh ne regarde pas,  le Dieu de Jacob ne fait pas attention. """
"Intellegite, insipientes in populo; * et stulti, quando sapietis?";Comprenez-donc, stupides enfants du peuple!  Insensés, quand aurez-vous l'intelligence?
Qui plantavit aurem, non audiet, * aut qui finxit oculum, non respiciet?;Celui qui a planté l'oreille n'entendrait-il pas?  Celui qui a formé l'oeil ne verrait-il pas?
Qui corripit gentes, non arguet, * qui docet hominem scientiam?;Celui qui châtie les nations ne punirait-il pas?  Celui qui donne à l'homme l'intelligence ne reconnaîtrait-il pas?
Dominus scit cogitationes hominum, * quoniam vanae sunt.;Yahweh connaît les pensées des hommes,  il sait qu'elles sont vaines.
Beatus homo, quem tu erudieris, Domine, * et de lege tua docueris eum,;Heureux l'homme que tu instruis, Yahweh,  et à qui tu donnes l'enseignement de ta loi,
ut mitiges ei a diebus malis, * donec fodiatur peccatori fovea.;pour l'apaiser aux jours du malheur,  jusqu'à ce que la fosse soit creusée pour le méchant.
Quia non repellet Dominus plebem suam * et hereditatem suam non derelinquet.;"Car Yahweh ne rejettera pas son peuple,  il n'abandonnera pas son héritage;"
Quia ad iustitiam revertetur iudicium, * et sequentur illam omnes, qui recto sunt corde.;mais le jugement redeviendra conforme à la justice,  et tous les hommes au coeur droit y applaudiront.
Quis consurget mihi adversus malignantes, * aut quis stabit mecum adversus operantes iniquitatem?;Qui se lèvera pour moi contre les méchants?  Qui me soutiendra contre ceux qui font le mal?
Nisi quia Dominus adiuvit me, * paulo minus habitasset in loco silentii anima mea.;Si Yahweh n'était pas mon secours,  mon âme habiterait bientôt le séjour du silence.
"Si dicebam: "" Motus est pes meus "", * misericordia tua, Domine, sustentabat me.";"Quand je dis: "" Mon pied chancelle, ""  ta bonté, Yahweh, me soutient."
In multitudine sollicitudinum mearum in corde meo, * consolationes tuae laetificaverunt animam meam.;Quand les angoisses s'agitent en foule dans ma pensée,  tes consolations réjouissent mon âme.
Numquid sociabitur tibi sedes iniquitatis, * quae fingit molestiam contra praeceptum?;A-t-il rien de commun avec toi le tribunal de perdition,  qui fait le mal dans les formes légales?
Irruunt in animam iusti * et sanguinem innocentem condemnant.;Ils s'empressent contre la vie du juste,  et ils condamnent le sang innocent.
"Et factus est mihi Dominus in praesidium, * et Deus meus in rupem refugii mei;";Mais Yahweh est ma forteresse,  mon Dieu est le rocher où je m'abrite.
et reddet illis iniquitatem ipsorum + et in malitia eorum disperdet eos, * disperdet illos Dominus Deus noster.;Il fera retomber sur eux leur iniquité,  il les exterminera par leur propre malice,  il les exterminera, Yahweh, notre Dieu!
