Psalmus 8;Psaume 8
Maiestas Domini et dignitas hominis;Majesté du Seigneur, et dignité de l’homme
Omnia subiecit sub pedibus eius, et ipsum dedit caput supra omnia Ecclesiæ (Eph 1, 22).;Dieu lui a tout soumis, et, le plaçant plus haut que tout, il a fait de lui la tête de l'Église (Eph 1, 22).

Dómine, Dóminus noster, * quam admirábile est nomen tuum in univérsa terra,;Seigneur, notre Seigneur, que ton nom est glorieux sur toute la terre,
quóniam eleváta est magnificéntia tua * super cælos.;Toi qui as revêtu les cieux de ta majesté
Ex ore infántium et lactántium perfecísti laudem propter inimícos tuos, * ut déstruas inimícum et ultórem.;Par la bouche des enfants et de ceux qui sont à la mamelle tu t'es fondé une force pour confondre tes ennemis, pour imposer silence à l'adversaire et au blasphémateur. 
Quando vídeo cælos tuos, ópera digitórum tuórum, * lunam et stellas, quæ tu fundásti,;Quand je contemple tes cieux, ouvrage de tes doigts, la lune et les étoiles que tu as créées, je m'écrie : 
quid est homo, quod memor es eius, * aut fílius hóminis quóniam vísitas eum?;Qu'est-ce que l'homme, pour que tu te souviennes de lui, et le fils de l'homme, pour que tu en prennes soin? 
Minuísti eum paulo minus ab ángelis, glória et honóre coronásti eum * et constituísti eum super ópera mánuum tuárum.;"Tu l'as fait de peu inférieur à Dieu, tu l'as couronné de gloire et d'honneur. Tu lui as donné l'empire sur les oeuvres de tes mains; tu as mis toutes choses sous ses pieds :"
Omnia subiecísti sub pédibus eius, oves et boves univérsas, * ínsuper et pécora campi,;"Brebis et boeufs, tous ensemble, et les animaux des champs ;"
vólucres cæli et pisces maris, * quæcúmque perámbulant sémitas maris.;oiseaux du ciel et poissons de la mer, et tout ce qui parcourt les sentiers des mers. 
Dómine, Dóminus noster, * quam admirábile est nomen tuum in univérsa terra!;le Seigneur, notre Seigneur, que ton nom est glorieux sur toute la terre ! 
