Psalmus 56 (57);Psaume 56 (57)
In afflictione oratio matutina;Prière matinale dans l’affliction
Passionem Domini cantat iste psalmus (S. Augustinus).;C’est la passion du Seigneur que chante ce psaume (S. Augustin).

"Miserére mei, Deus, miserére mei, * quóniam in te cónfugit ánima mea;";"Aie pitié de moi, ô Dieu, aie pitié de moi, car en toi mon âme cherche un refuge;"
et in umbra alárum tuárum confúgiam, * donec tránseant insídiæ. ;je m'abriterai à l'ombre de tes ailes, jusqu'à ce que la calamité soit passée. 
Clamábo ad Deum Altíssimum, * Deum, qui benefécit mihi.;Je crie vers le Dieu Très-Haut, le Dieu qui fait tout pour moi. 
"Mittet de cælo et liberábit me; dabit in oppróbrium conculcántes me. * Mittet Deus misericórdiam suam et veritátem suam. ";Il m'enverra du ciel le salut : - mon persécuteur m'accable d'outrages ! - Séla. Dieu enverra sa bonté et sa vérité.
Anima mea recúmbit in médio catulórum leónum * devorántium fílios hóminum.;Je couche au milieu des lions, des hommes qui vomissent la flamme,
Dentes eórum arma et sagíttæ * et língua eórum gládius acútus.;qui ont pour dents la lance et les flèches, et dont la langue est un glaive tranchant. 
Exaltáre super cælos, Deus, * super omnem terram glória tua.;Elève-toi au-dessus des cieux, ô Dieu, que ta gloire brille par toute la terre ! 
"Láqueum paravérunt pédibus meis, * et incurvávit se ánima mea; ";"Ils avaient tendu un piège devant mes pas, déjà mon âme se courbait ;"
fodérunt ante fáciem meam fóveam, * et ipsi incidérunt in eam.;ils avaient creusé une fosse devant moi : ils y sont tombés ! - Séla. 
"Parátum cor meum, Deus, parátum cor meum; * cantábo et psalmum dicam.";"Mon coeur est affermi, ô Dieu, mon coeur est affermi ; je chanterai et ferai retentir de joyeux instruments. "
Exsúrge, glória mea, exsúrge, psaltérium et cíthara, * excitábo auróram. ;Eveille-toi, ma gloire ! Eveillez-vous, ma lyre et ma harpe ! Que j'éveille l'aurore! 
Confitébor tibi in pópulis, Dómine, * et psalmum dicam tibi in natiónibus, ;Je te louerai parmi les peuples, Seigneur, je te chanterai parmi les nations. 
quóniam magnificáta est usque ad cælos misericórdia tua * et usque ad nubes véritas tua.;Car ta fidélité atteint jusqu'aux cieux, et ta vérité jusqu'aux nues.
Exaltáre super cælos, Deus, * super omnem terram glória tua.;Elève-toi au-dessus des cieux, ô Dieu, que ta gloire brille sur toute la terre ! 
