Psalmus 62 (63), 2-9;Psaume 62 (63), 2-9
Anima Dominum sitiens;Mon âme a soif du Seigneur
Ad Deum vigilat, qui opera noctis reicit.;Il veille pour Dieu, celui qui s’écarte des œuvres ténébreuses.

Deus, Deus meus es tu, * ad te de luce vígilo. ;"O Dieu, tu es mon Dieu, je te cherche dès l'aurore; "
Sitívit in te ánima mea, * te desiderávit caro mea. ;mon âme a soif de toi, ma chair languit après toi, 
In terra desérta et árida et inaquósa, + sic in sancto appárui tibi, * ut vidérem virtútem tuam et glóriam tuam.;dans une terre aride, desséchée et sans eau. C'est ainsi que je te contemplais dans le sanctuaire, pour voir ta puissance et ta gloire. 
Quóniam mélior est misericórdia tua super vitas, * lábia mea laudábunt te.;Car ta grâce est meilleure que la vie : que mes lèvres célèbrent tes louanges !
Sic benedícam te in vita mea * et in nómine tuo levábo manus meas. ;Ainsi te bénirai-je toute ma vie, en ton nom j'élèverai mes mains. 
Sicut ádipe et pinguédine repleátur ánima mea, * et lábiis exsultatiónis laudábit os meum. ;"Mon âme est rassasiée, comme de moelle et de graisse; et, la joie sur les lèvres, ma bouche te loue. "
Cum memor ero tui super stratum meum, * in matutínis meditábor de te,;Quand je pense à toi sur ma couche, je médite sur toi pendant les veilles de la nuit. 
quia fuísti adiútor meus, * et in velaménto alárum tuárum exsultábo.;Car tu es mon secours, et je suis dans l’allégresse à l'ombre de tes ailes. 
Adhæsit ánima mea post te, * me suscépit déxtera tua.;Mon âme est attachée à toi, ta droite me soutient. 
