Psalmus 59 (60);Psaume 59 (60)
Post calamitatem oratio;Prière après une calamité
In mundo pressuram habetis, sed confidite, ego vici mundum (Io 16, 33).;Vous aurez des épreuves dans le monde, mais prenez confiance, j’ai vaincu le monde (Io 16, 33).

Deus, reppulísti nos, destruxísti nos. * Irátus es. Convértere ad nos!;O Dieu, tu nous a rejetés, tu nous a dispersés : tu étais irrité : rends-nous ta faveur ! 
"Concussísti terram, confregísti eam; * sana contritiónes eius, quia commóta est.";Tu as ébranlé le pays, tu l'as déchiré : répare ses brèches, car il chancelle !
Ostendísti pópulo tuo dura, * potásti nos vino vertíginis.;Tu as fait voir à ton peuple de rudes épreuves, tu nous a fait boire un vin de vertige. 
Dedísti metuéntibus te signum, * ut fúgiant a fácie arcus.;Mais tu as donné à ceux qui te craignent une bannière, afin qu'elle s'élève à cause de ta vérité.
Ut liberéntur dilécti tui, * salvos fac déxtera tua et exáudi nos.;Afin que tes bien-aimés soient délivrés, sauve par ta droite, et exauce-moi. 
Deus locútus est in sancto suo: «Lætábor et partíbor Síchimam * et convállem Succoth metíbor.;"Dieu a parlé dans sa sainteté : "" Je tressaillerai de joie. J'aurai Sichem en partage, et je mesurerai la vallée de Succoth. "
Meus est Gálaad et meus est Manásses * et Ephraim fortitúdo cápitis mei.;Galaad est à moi, à moi Manassé ! Ephraim est l'armure de ma tête,
Iuda sceptrum meum, * Moab olla lavácri mei.;"et Juda mon sceptre. Moab est le bassin où je me lave ;"
Super Idumæam exténdam calceaméntum meum, * super Philistæam vociferábor».;"sur Edom je jette ma sandale; terre des Philistins, pousse des acclamations en mon honneur! "" "
Quis addúcet me in civitátem munítam? * Quis dedúcet me usque in Idumæam?;Qui me mènera à la ville forte? Qui me conduira à Edom?
Nonne tu, Deus, qui reppulísti nos, * et non egrediéris, Deus, in virtútibus nostris?;N'est-ce pas toi, ô Dieu, qui nous avais rejetés, ô Dieu, qui ne sortais plus avec nos armées? 
Da nobis auxílium de tribulatióne, * quia vana salus hóminis.;Prête-nous ton secours contre l'oppresseur ! Le secours de l'homme n'est que vanité. 
In Deo faciémus virtútem, * et ipse conculcábit tribulántes nos.;"Avec Dieu nous accomplirons des exploits ; il écrasera nos ennemis. "
