Psalmus 94 (95);Psaume 94 (95)
Invitatio ad laudem Dei;Invitation à la louange de Dieu
Adhortamini vosmetipsos per singulos dies, donec «hodie» cognominatur (Heb 3, 13).;Exhortez-vous mutuellement chaque jour, tant que vaut cet « aujourd’hui ».

(Proponitur et repetitur antiphona);(On propose et on répète l’antienne)
"Veníte, exsultémus Dómino; iubilémus Deo salutári nostro. + Præoccupémus fáciem eius in confessióne et in psalmis iubilémus ei.";"Venez, réjouissons-nous devant le Seigneur;  jubilons en Dieu, notre Sauveur. Accourons devant sa face en actions de grâces, * et dans les psaumes jubilons pour lui."
(Repetitur antiphona);(On répète l’antienne)
Quóniam Deus magnus Dóminus et rex magnus super omnes deos. Quia in manu eius sunt profúnda terræ, et altitúdines móntium ipsíus sunt. Quóniam ipsíus est mare, et ipse fecit illud, et siccam manus eius formavérunt.;Car le Seigneur est le grand Dieu,  et le grand Roi au-dessus de tous les dieux. Dans Sa main sont les profondeurs de la terre, et les sommets des montagnes lui appartiennent. A Lui est la mer, c'est lui qui l'a faite, et ses mains ont formé le continent.
(Repetitur antiphona);(On répète l’antienne)
Veníte, adorémus et procidámus et génua flectámus ante Dóminum, qui fecit nos, quia ipse est Deus noster, et nos pópulus páscuæ eius et oves manus eius.;"Venez, adorons et prosternons-nous, et fléchissons les genoux devant le Seigneur qui nous a faits; car Il est le Seigneur notre Dieu, et nous, nous sommes le peuple de son pâturage, et les brebis de sa main."
(Repetitur antiphona);(On répète l’antienne)
Utinam hódie vocem eius audiátis: «Nolíte obduráre corda vestra, sicut in Meríba secúndum diem Massa in desérto, ubi tentavérunt me patres vestri: probavérunt me, etsi vidérunt ópera mea.;Si seulement aujourd'hui, vous entendez sa voix, gardez-vous d'endurcir vos coeurs, comme à Mériba, comme au jour de Massa dans le désert, où vos pères m'ont éprouvé, même s’ils ont vu mes oeuvres.

(Repetitur antiphona);(Repetitur antiphona)
"Quadragínta annis táeduit me generatiónis illíus, et dixi: Pópulus errántium corde sunt isti. Et ipsi non cognovérunt vias meas; ídeo iurávi in ira mea: Non introíbunt in réquiem meam».";"Pendant quarante ans je fus irrité contre cette génération; ceux-ci sont un peuple d’errants de coeur. Et ils n'ont point connu mes voies; de sorte que j'ai juré dans ma colère:  Ils n'entreront point dans mon repos."
(Repetitur antiphona);(Repetitur antiphona)
Gloria Patri, et Fílio, et Spirítui Sancto. Sicut erat in principio, et nunc et semper et in sæcula sæculórum. Amen.;Gloire au Père.
(Repetitur antiphona);(Repetitur antiphona)
Psalmo 94 (95) substitui potest psalmus 99 (100), vel 66 (67), vel 23 (24), qui, si occurrit in Officio, eius loco dicitur psalmus 94 (95).;Au psaume 94(95), on peut substituer le psaume 99(100), ou 66(67), 23(24), qui, si il se dit dans l’office sera alors remplacé par le psaume 94(95).
