Psalmus 110 (111);Psaume 110 (111)



Confitébor Dómino in toto corde meo, * in consílio iustórum et congregatióne.;Seigneur, je te célébrerai de tout mon coeur dans la réunion et dans l'assemblée des justes.
Magna ópera Dómini, * exquirénda ómnibus, qui cúpiunt ea. ;Les oeuvres du Seigneur sont grandes,  proportionnées à toutes ses volontés.
Decor et magnificéntia opus eius, * et iustítia eius manet in sæculum sæculi. ;Son oeuvre est splendeur et magnificence,  et sa justice demeure dans tous les siècles.
Memóriam fecit mirabílium suórum, * miséricors et miserátor Dóminus. ;Le Seigneur a institué un mémorial de ses merveilles, lui qui est miséricordieux et compatissant.
"Escam dedit timéntibus se; * memor erit in sæculum testaménti sui.";"Il a donné une nourriture à ceux qui le craignent ; il se souviendra éternellement de son alliance."
"Virtútem óperum suórum annuntiávit pópulo suo, ut det illis hereditátem géntium; * ópera mánuum eius véritas et iudícium. ";Il fera connaître à son peuple la puissance de ses oeuvres, en leur donnant l'héritage des nations.  Les oeuvres de Sses mains sont vérité et justice.
Fidélia ómnia mandáta eius, confirmáta in sæculum sæculi, * facta in veritáte et æquitáte. ;Tous ses préceptes sont immuables, affermis pour les siècles des siècles, fondés sur la vérité et l'équité.
Redemptiónem misit pópulo suo, * mandávit in ætérnum testaméntum suum.;"Il a envoyé la délivrance à son peuple; il a établi pour toujours son alliance. "
Sanctum et terríbile nomen eius. * Inítium sapiéntiæ timor Dómini, ;Son nom est saint et terrible. La crainte du Seigneur est le commencement de la sagesse.
"intelléctus bonus ómnibus faciéntibus ea; * laudátio eius manet in sæculum sæculi."; La vraie intelligence est en tous ceux qui agissent selon cette crainte. Sa louange subsiste dans les siècles des siècles.
