Psalmus 125 (126) ;Psaume 125 (126) 
Gaudium et spes in Deo;Joie et espoir dans le Seigneur
Sicuti socii passionum estis, sic eritis et consolationis (2 Cor 1, 7).;Comme vous avez part aux souffrances, vous avez aussi part à la consolation (2 Cor 1, 7).

In converténdo Dóminus captivitátem Sion, * facti sumus quasi somniántes.;Quand le Seigneur ramena les captifs de Sion, ce fut pour nous comme un songe.
Tunc replétum est gáudio os nostrum, * et língua nostra exsultatióne.;Alors notre bouche fit entendre des cris joyeux, notre langue, des chants d'allégresse.
Tunc dicébant inter gentes: * «Magnificávit Dóminus fácere cum eis».;Alors on répéta parmi les nations: « le Seigneur a fait pour eux de grandes choses. »
"Magnificávit Dóminus fácere nobíscum; * facti sumus lætántes.";"Oui, le Seigneur a fait pour nous de grandes choses; nous sommes dans la joie."
Convérte, Dómine, captivitátem nostram, * sicut torréntes in austro.;le Seigneur, ramène nos captifs, comme tu fais couler les torrents dans le Négéb.
Qui séminant in lácrimis, * in exsultatióne metent.;Ceux qui sèment dans les larmes, moissonneront dans l'allégresse.
"Eúntes ibant et flebant * semen spargéndum portántes;";"Ils vont, ils vont en pleurant, portant et jetant la semence;"
veniéntes autem vénient in exsultatióne * portántes manípulos suos.;ils reviendront avec des cris de joie, portant les gerbes de leur moisson.
