Psalmus 84 (85) ;Psaume 84 (85)
Propinqua est salus nostra;Notre salut est proche
In terram delapso Salvatore nostro, benedixit Deus terram suam (Origene).;Sur la terre, par la descente du rédempteur, Dieu a répandu la bénédiction sur sa terre (Origène).
;
Complacuísti tibi, Dómine, in terra tua, * convertísti captivitátem Iacob.;"Tu as été favorable à ton pays, le Seigneur; tu as ramené les captifs de Jacob ; "
Remisísti iniquitátem plebis tuæ, * operuísti ómnia peccáta eórum.;"tu as pardonné l'iniquité à ton peuple; tu as couvert tous ses péchés ; "
Contraxísti omnem iram tuam, * revertísti a furóre indignatiónis tuæ.;tu as retiré toute ton indignation, tu es revenu de l'ardeur de ta colère. 
Convérte nos, Deus, salutáris noster, * et avérte iram tuam a nobis.;"Rétablis-nous, Dieu de notre salut; mets fin à ton sentiment contre nous. "
Numquid in ætérnum irascéris nobis * aut exténdes iram tuam a generatióne in generatiónem?;Seras-tu toujours irrité contre nous, prolongeras-tu ton courroux éternellement ? 
Nonne tu convérsus vivificábis nos, * et plebs tua lætábitur in te?;Ne nous feras-tu pas revenir à la vie, afin que ton peuple se réjouisse en toi? 
Osténde nobis, Dómine, misericórdiam tuam * et salutáre tuum da nobis.;le Seigneur, fais-nous voir ta bonté, et accorde-nous ton salut. 
Audiam, quid loquátur Dóminus Deus, quóniam loquétur pacem ad plebem suam et sanctos suos * et ad eos, qui convertúntur corde.;"Je veux écouter ce que dira le Dieu le Seigneur : - Il a des paroles de paix pour son peuple et pour ses fidèles; pourvu qu'ils ne retournent pas à leur folie."
Vere prope timéntes eum salutáre ipsíus, * ut inhábitet glória in terra nostra.;Oui, son salut est proche de ceux qui le craignent, et la gloire habitera de nouveau dans notre pays. 
Misericórdia et véritas obviavérunt sibi, * iustítia et pax osculátæ sunt.;La bonté et la vérité vont se rencontrer, la justice et la paix s'embrasseront. 
Véritas de terra orta est, * et iustítia de cælo prospéxit.;La vérité germera de la terre, et la justice regardera du haut du ciel. 
Etenim Dóminus dabit benignitátem, * et terra nostra dabit fructum suum.;" le Seigneur lui-même accordera tout bien; et notre terre donnera son fruit. "
Iustítia ante eum ambulábit, * et ponet in via gressus suos.;La justice marchera devant lui, et tracera le chemin à ses pas.
