Psalmus 140 (141), 1-9;Psaume 140 (141), 1-9
In periculis oratio;Prière dans les dangers
Et ascendit fumus incensorum de orationibus sanctorum de manu angeli coram Deo (Ap 8, 4).;L’ange fit monter devant Dieu la fumée des parfums avec les prières des saints (Ap 8, 4).

"Dómine, clamávi ad te, ad me festína; * inténde voci meæ, cum clamo ad te.";"Seigneur, je t'invoque; hâte-toi de venir vers moi; prête l'oreille à ma voix, quand je t'invoque. "
Dirigátur orátio mea sicut incénsum in conspéctu tuo, * elevátio mánuum meárum ut sacrifícium vespertínum.;Que ma prière soit devant ta face comme l'encens, et l'élévation de mes mains comme l'offrande du soir !
Pone, Dómine, custódiam ori meo * et vigíliam ad óstium labiórum meórum. ;le Seigneur, mets une garde à ma bouche, une sentinelle à la porte de mes lèvres.
Non declínes cor meum in verbum malítiæ * ad machinándas machinatiónes in impietáte ;"N'incline pas mon coeur vers des choses mauvaises; ne l'incline pas à se livrer à des actes de méchanceté"
"cum homínibus operántibus iniquitátem; * et non cómedam ex delíciis eórum. ";"avec les hommes qui commettent l'iniquité ;que je ne prenne aucune part auurs festins !"
"Percútiat me iustus in misericórdia et íncrepet me; + óleum autem peccatóris non impínguet caput meum, * quóniam adhuc et orátio mea in malítiis eórum.";"Que le juste me frappe, c'est une faveur; qu'il me reprenne, c'est un parfum sur ma tête; ma tête ne le refusera pas, car alors je n'opposerai que ma prière auurs mauvais desseins. "
Deiécti in manus duras iúdicum eórum, * áudient verba mea, quóniam suávia erant.;"Mais bientôt leurs chefs seront précipités le long des rochers; et l'on écoutera mes paroles, car elles sont agréables. "
Sicut frusta dolántis et dirumpéntis in terra, * dissipáta sunt ossa eórum ad fauces inférni.;Comme lorsqu'on laboure et que l'on ameublit la terre, ainsi nos ossements sont semés au bord du schéol. 
"Quia ad te, Dómine, Dómine, óculi mei; * ad te confúgi, non effúndas ánimam meam.";"Car vers toi, Seigneur, Seigneur, je tourne mes yeux; auprès de toi je cherche un refuge: n'abandonne pas mon âme !"
Custódi me a láqueo, quem statuérunt mihi, * et a scándalis operántium iniquitátem.;Préserve-moi des pièges qu'ils me tendent, des embûches de ceux qui font le mal !
Gloria Patri, et Fílio, * et Spirítui Sancto.;Gloire au Père, au Fils et au Saint-Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles.
