Psalmus 120 (121);Psaume 120 (121)
Custos populi;Garde du peuple
Non esurient amplius, neque sitient amplius, neque cadet super illos sol neque ullus æstus (Ap 7, 16).;Ils n'auront plus faim, ils n'auront plus soif, la brûlure du soleil ne les accablera plus. (Ap 7, 16).
;
Levábo óculos meos in montes: * unde véniet auxílium mihi?;Je lève les yeux vers les montagnes: d'où me viendra le secours? 
Auxílium meum a Dómino, * qui fecit cælum et terram.;Mon secours viendra du Seigneur, qui a fait le ciel et la terre. 
Non dabit in commotiónem pedem tuum, * neque dormitábit, qui custódit te.;"Il ne permettra pas que ton pied trébuche; celui qui te garde ne sommeillera pas. "
Ecce non dormitábit neque dórmiet, * qui custódit Israel.;Non, il ne sommeille ni ne dort, celui qui garde Israël. 
Dóminus custódit te, Dóminus umbráculum tuum, * ad manum déxteram tuam.;"le Seigneur est ton gardien; Le Seigneur est ton abri, toujours à ta droite."
Per diem sol non percútiet te, * neque luna per noctem.;Pendant le jour le soleil ne te frappera point, ni la lune pendant la nuit. 
"Dóminus custódiet te ab omni malo; * custódiet ánimam tuam Dóminus.";le Seigneur te gardera de tout mal, il gardera ton âme: 
Dóminus custódiet intróitum tuum et éxitum tuum * ex hoc nunc et usque in sæculum;le Seigneur gardera ton départ et ton arrivée, maintenant et à jamais.
