Psalmus 2;Psaume 2
Messias rex et victor;Le Messie, Roi et Vainqueur
Convenerunt vere adversus puerum tuum Iesum, quem unxisti (Act 4, 27).;C'est une ligue en vérité qu'on a formée contre ton saint serviteur Jésus, que tu as oint.
;
Quare fremuérunt gentes,* et pópuli meditáti sunt inánia?;Pourquoi les nations s'agitent-elles en tumulte.  et les peuples méditent-ils de vains projets?
Astitérunt reges terræ,+ et príncipes convenérunt in unum * advérsus Dóminum et advérsus christum eius:;Les rois de la terre se soulèvent,  et les princes tiennent conseil ensemble,  contre Yahweh et contre son Oint.
«Dirumpámus víncula eórum * et proiciámus a nobis iugum ipsórum!».;"""Brisons leurs liens, disent-ils,  et jetons loin de nous leurs chaines """
Qui hábitat in cælis, irridébit eos, * Dóminus subsannábit eos.;Celui qui est assis dans les cieux sourit,  le Seigneur se moque d'eux.
Tunc loquétur ad eos in ira sua * et in furóre suo conturbábit eos:;Alors il leur parlera dans sa colère,  et dans sa fureur il les épouvantera:
«Ego autem constítui regem meum * super Sion, montem sanctum meum!».;""" Et moi, j'ai établi mon roi,  sur Sion, ma montagne sainte. """
"Prædicábo decrétum eius.+ Dóminus dixit ad me: «Fílius meus es tu; * ego hódie génui te.";""" Je publierai le décret:  Yahweh m'a dit: Tu es mon Fils,  je t'ai engendré aujourd'hui."
Póstula a me, et dabo tibi gentes hereditátem tuam * et possessiónem tuam términos terræ.;Demande, et je te donnerai les nations pour héritage,  pour domaine les extrémités de la terre.
Reges eos in virga férrea * et tamquam vas fíguli confrínges eos».;"Tu les briseras avec un sceptre de fer,  tu les mettras en pièces comme le vase du potier."""
"Et nunc, reges, intellégite; * erudímini, qui iudicátis terram.";"Et maintenant, rois, devenez sages;  recevez l'avertissement, juges de la terre."
Servíte Dómino in timóre * et exsultáte ei cum tremóre.;Servez Yahweh avec crainte,  tressaillez de joie avec tremblement.
Apprehéndite disciplínam,+ ne quando irascátur, et pereátis de via, * cum exárserit in brevi ira eius.;"Baisez le Fils, de peur qu'il ne s'irrite  et que vous ne périssiez dans votre voie;  Car bientôt s'allumerait sa colère; "
Beáti omnes, * qui confídunt in eo.;Heureux tous ceux qui mettent en lui leur confiance.
