Psalmus 129 (130);Psaume 129 (130)
De profundis clamavi;Des profondeurs, j’ai crié.
Ipse salvum faciet populum suum a peccatis eorum (Mt 1, 21).;Car il sauvera son peuple de ses péchés. (Act 2, 24).
;
"De profúndis clamávi ad te, Dómine; * Dómine, exáudi vocem meam. ";"Du fond de l'abîme je crie vers toi, le Seigneur. Seigneur, écoute ma voix; "
Fiant aures tuæ intendéntes * in vocem deprecatiónis meæ.;que tes oreilles soient attentives aux accents de ma prière! 
Si iniquitátes observáveris, Dómine, * Dómine, quis sustinébit?;Si tu gardes le souvenir de l'iniquité, Seigneur, Seigneur, qui pourra subsister? 
Quia apud te propitiátio est, * ut timeámus te. ;Mais auprès de toi est le pardon, afin qu'on te révère. 
"Sustínui te, Dómine, * sustínuit ánima mea in verbo eius; ";"J'espère dans le Seigneur; mon âme espère, et j'attends sa parole. "
sperávit ánima mea in Dómino * magis quam custódes auróram.;Mon âme aspire après le Seigneur plus que les guetteurs n'aspirent après l'aurore. 
Magis quam custódes auróram * speret Israel in Dómino, ;Plus que les guetteurs n'aspirent après l'aurore, Israël, mets ton espoir dans le Seigneur! 
quia apud Dóminum misericórdia, * et copiósa apud eum redémptio. ;Car avec le Seigneur est la miséricorde, avec lui une surabondante délivrance. 
Et ipse rédimet Israel * ex ómnibus iniquitátibus eius.;C'est lui qui rachètera Israël de toutes ses iniquités. 
