Psalmus 131 (132) ;Psaume 131 (132)
Divina promissa domui David data;Promesse divine donnée à la maison de David.
Dabit illi Dominus Deus sedem David patris eius (Lc 1, 32).;Le Seigneur Dieu a donné à Davis le trône de son père (Lc 1, 32).
;
Memento, Domine, David * et omnis mansuetudinis eius,;Souviens-toi, Seigneur, de David, de toutes ses peines!
quia iuravit Domino, * votum vovit Potenti Iacob:;Il fit ce serment au Seigneur, ce voeu au Puissant allié de Jacob:
“ Non introibo in tabernaculum domus meae, * non ascendam in lectum strati mei,;"« Je n'entrerai pas dans la tente où j'habite, je ne monterai pas sur le lit où je repose;"
non dabo somnum oculis meis * et palpebris meis dormitationem,;Je n'accorderai point de sommeil à mes yeux, ni d'assoupissement à mes paupières,
donec inveniam locum Domino, * tabernaculum Potenti Iacob ”.;jusqu'à ce que j'aie trouvé un lieu pour le Seigneur, une demeure pour le Puissant allié de Jacob. »
Ecce audivimus eam esse in Ephratha, * invenimus eam in campis Iaar.;"Voici, entendions-nous dire, qu'elle est à Ephrata; nous l'avons trouvée dans les champs de Jaar."
Ingrediamur in tabernaculum eius, * adoremus ad scabellum pedum eius. -;Allons au tabernacle du Seigneur, prosternons-nous devant l'escabeau de ses pieds.
Surge, Domine, in requiem tuam, * tu et arca fortitudinis tuae.;Lève-toi, Seigneur, viens au lieu de ton repos, toi et l'arche de ta majesté!
Sacerdotes tui induantur iustitiam, * et sancti tui exsultent.;Que tes prêtres soient revêtus de justice, et que tes fidèles poussent des cris d'allégresse!
Propter David servum tuum * non avertas faciem christi tui.;A cause de David, ton serviteur, ne repousse pas la face de ton Oint!
Iuravit Dominus David veritatem et non recedet ab ea: “ De fructu ventris tui * ponam super sedem tuam.;le Seigneur a juré à David la vérité, il ne s'en départira pas: « C'est du fruit de tes entrailles, que je mettrai sur ton trône.
Si custodierint filii tui testamentum meum et testimonia mea, quae docebo eos, * filii eorum usque in saeculum sedebunt super sedem tuam ”.;Si tes fils gardent mon alliance, et les préceptes que je leur enseignerai, leurs fils aussi, à tout jamais, seront assis sur ton trône. »
Quoniam elegit Dominus Sion, * desideravit eam in habitationem sibi:;Car le Seigneur a choisi Sion, il l'a désirée pour sa demeure.
"“ Haec requies mea in saeculum saeculi; * hic habitabo, quoniam desideravi eam.";"« C'est le lieu de mon repos pour toujours; j'y habiterai, car je l'ai désirée."
Sacerdotes eius induam salutari, * et sancti eius exsultatione exsultabunt.;Je revêtirai de salut ses prêtres, et ses fidèles pousseront des cris d'allégresse.
Illic germinare faciam cornu David, * parabo lucernam christo meo.;Là je ferai grandir la puissance de David, je préparerai un flambeau à mon Oint.
Inimicos eius induam confusione, * super ipsum autem efflorebit diadema eius ”.;Je revêtirai de honte ses ennemis, et sur son front resplendira son diadème. »
