Psalmus 80 (81);Psaume 80 (81)
Sollemnis renovatio foederis;Rénovation solennelle de l'alliance
Videte, ne forte sit in aliquo vestrum cor malum incredulitatis (Hebr 3, 12).;Prenez garde qu’il n’y ait en quelqu’un de vous un cœur mauvais et incrédule (Hebr 3, 12).

Exsultáte Deo adiutóri nostro, * iubiláte Deo Iacob.;"Chantez avec allégresse en l'honneur de Dieu, notre force; poussez des cris de joie en l'honneur du Dieu de Jacob ! "
Súmite psalmum et date tympanum, * psaltérium iucúndum cum cíthara.;Entonnez l'hymne, au son du tambourin, de la harpe harmonieuse et du luth ! 
Bucináte in neoménia tuba, * in die plenæ lunæ, in sollemnitáte nostra.;Sonnez de la trompette à la nouvelle lune, à la pleine lune, pour le jour de notre fête. 
Quia præcéptum in Israel est, * et iudícium Deo Iacob.;Car c'est un précepte pour Israël, une ordonnance du Dieu de Jacob. 
"Testimónium in Ioseph pósuit illud, cum exíret de terra ægypti; * sermónem, quem non nóveram, audívi:";Il en fit une loi pour Joseph, quand il marcha contre le pays d'Egypte. J'entends une voix qui m'est inconnue : 
"«Divérti ab onéribus dorsum eius; * manus eius a cóphino recessérunt.";J'ai déchargé son épaule du fardeau, et ses mains ont quitté la corbeille. 
In tribulatióne invocásti me et liberávi te, exaudívi te in abscóndito tempestátis, * probávi te apud aquam Meríba.;"Tu as crié dans la détresse, et je t'ai délivré ; je t'ai répondu du sein de la nuée orageuse ; je t'ai éprouvé aux eaux de Mériba. - Séla. "
"Audi, pópulus meus, et contestábor te; * Israel, útinam áudias me!";""" Ecoute, mon peuple, je veux te donner un avertissement ; Israël, puisses-tu m'écouter ! "
Non erit in te deus aliénus, * neque adorábis deum extráneum.;Qu'il n'y ait point au milieu de toi de dieu étranger : n'adore pas le dieu d'un autre peuple. 
"Ego enim sum Dóminus Deus tuus, qui edúxi te de terra ægypti; * diláta os tuum, et implébo illud.";C'est moi, le Seigneur, ton Dieu, qui t'ai fait monter du pays d'Egypte. Ouvre la bouche, et je la remplirai. 
Et non audívit pópulus meus vocem meam, * et Israel non inténdit mihi.;""" Mais mon peuple n'a pas écouté ma voix, Israël ne m'a pas obéi. "
Et dimísi eos secúndum durítiam cordis eórum, * ibunt in adinventiónibus suis.;Alors je l'ai abandonné à l'endurcissement de son coeur, et ils ont suivi leurs propres conseils. 
Si pópulus meus audísset me, * Israel si in viis meis ambulásset!;""" Ah ! si mon peuple m'écoutait, si Israël marchait dans mes voies ! "
In brevi inimícos eórum humiliássem * et super tribulántes eos misíssem manum meam.;"Bientôt je confondrais leurs ennemis; je tournerais ma main contre leurs oppresseurs. "
"Inimíci Dómini blandiréntur ei, * et esset sors eórum in sæcula;";""" Ceux qui haïssent le Seigneur le flatteraient, et la durée d'Israël serait assurée pour toujours. "
et cibárem eos ex ádipe fruménti * et de petra melle saturárem eos».;Je le nourrirais de 1a fleur de froment, et je le rassasierais du miel du rocher.
