II;II
;
Quidam surgentes falsum testimonium ferebant adversus Iesum (Mc 14, 57).;Quelques uns se levant, portèrent contre lui un faux témoignage (Mc 14, 57).
;
Exáudi, Dómine, vocem meam, qua clamávi, * miserére mei et exáudi me.;"Seigneur, écoute ma voix, je t'invoque; aie pitié de moi et exauce-moi ! "
De te dixit cor meum: «Exquírite fáciem meam!». * Fáciem tuam, Dómine, exquíram.;"Mon coeur dit de ta part : ""Cherchez ma face ! ""; je cherche ta face, Seigneur."
Ne avértas fáciem tuam a me, * ne declínes in ira a servo tuo. ;"Ne me cache pas fa face, ne repousse pas avec colère ton serviteur;"
Adiútor meus es tu, ne me reícias * neque derelínquas me, Deus salútis meæ. ;Tu es mon secours, ne me délaisse pas, et ne m'abandonne pas, Dieu de mon salut !
Quóniam pater meus et mater mea dereliquérunt me, * Dóminus autem assúmpsit me.;Car mon père et ma mère m'ont abandonné, mais le Seigneur me recueillera. 
Osténde mihi, Dómine, viam tuam * et dírige me in sémitam rectam propter inimícos meos.;"Seigneur, enseigne-moi ta voie ; dirige-moi dans un sentier uni, à cause de ceux qui m'épient. "
"Ne tradíderis me in ánimam tribulántium me; quóniam insurrexérunt in me testes iníqui * et qui violéntiam spirant.";Ne me livre pas à la fureur de mes adversaires, car contre moi s'élèvent des témoins de mensonge, et des gens qui ne respirent que violence. 
Credo vidére bona Dómini * in terra vivéntium. ;Ah ! si je ne croyais pas voir la bonté du Seigneur, dans la terre des vivants. 
Exspécta Dóminum, viríliter age, * et confortétur cor tuum, et sústine Dóminum.;Espère dans le Seigneur, aie courage et que ton coeur soit ferme, espère dans le Seigneur.
