#JOUR;#JOUR
V/. Deus, in adiutórium meum inténde. ;V/. Dieu, viens à mon aide. 
R/. Dómine, ad adiuvándum me festína.;R/. Seigneur, vite à mon secours.
Gloria Patri, et Fílio, et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
Allelúia.;Alléluia.
<h2>Conscientiæ discussio</h2>;<h2>Examen de conscience</h2>
Confíteor Deo omnipoténti et vobis, fratres, quia peccávi nimis cogitatióne, verbo, ópere et omissióne: ;Je confesse à Dieu tout puissant et à vous, mes frères, car j'ai péché par la pensée, la parole, les actes et par omission :
<h5>et, percutientes sibi pectus, dicunt :</h5>;<h5>et, en se frappant la poitrine, on dit :</h5>
mea culpa, mea culpa, mea máxima culpa. ; je suis coupable, je suis coupable, je suis grandement coupable.
<h5>Deinde prosequuntur:</h5>;<h5>ensuite, on continue :</h5>
Ideo precor beátam Maríam semper Vírginem, omnes Angelos et Sanctos, et vos, fratres, oráre pro me ad Dóminum Deum nostrum.;C'est pourquoi je supplie la bienheureuse Marie toujours Vierge, tous les Anges et les Saints, et vous, frères, de prier pour moi le Seigneur notre Dieu.
V/. Misereátur nostri omnípotens Deus et, dimissís peccátis nostris, perdúcat nos ad vitam aetérnam.;V/. Aie pitié de nous Dieu tout puissant et, nos péchés ayant été renvoyés, conduis-nous à la vie éternelle.
R/. Amen.;R/. Amen.
#HYMNUS;#HYMNE
<h2>Psalmodia</h2>;<h2>Psalmodie</h2>
#ANT1*;#ANT1
#PS1;#PS1
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père,au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#ANT1;#ANT1
#ANT2*;#ANT2
#PS2;#PS2
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#ANT2;#ANT2
#LB;#LB
#RB;#RB
#ANT_NUNCD;#ANT_NUNCD
#NUNCDIMITTIS;#NUNCDIMITTIS
Gloria Patri, et Fílio, * et Spirítui Sancto. ;Gloire au Père, au Fils et au Saint Esprit.
Sicut erat in principio, et nunc et semper * et in sæcula sæculórum. Amen.;Comme il était au commencement, maintenant et toujours, et dans les siècles des siècles. Amen.
#ANT_NUNCD;#ANT_NUNCD
<h2>Oratio</h2>;<h2>Oraison</h2>
Orémus.;Prions.
#ORATIO;#ORATIO
R/. Amen.;R/. Amen.
<h5>Deinde dicitur, etiam a solo, benedictio:</h5>;<h5>Ensuite on dit, même seul, la bénédiction :</h5>
V/. Noctem quiétam et finem perféctum concédat nobis Dóminus omnípotens. ;Que le Dieu tout-puissant nous accorde une nuit tranquille et une fin parfaite.
R/. Amen.;R/. Amen.
#ANT_MARIALE;#ANT_MARIALE
