HYMNUS_laudes;hy_Iam, Christe, sol iustítiæ;;
ant1;Quando véniam et apparébo ante fáciem Dómini?;Quand viendrai-je et apparaîtrai-je devant ta face, Seigneur ?;
ant2;Osténde nobis, Dómine, lucem miseratiónum tuárum.;Montre nous, Seigneur, la lumière de ta miséricorde.;
ant3;Benedíctus es, Dómine, in firmaménto cæli.;Montre nous, Seigneur, la lumière de ta miséricorde.;
LB_matin;LB_Ex 19, 4-6a;;
RB_matin;"R/. Ipse liberábit me * De láqueo venántium. Ipse. 
V/. Et a verbo malígno. * De láqueo venántium. Glória Patri. Ipse.";"R/. C'est lui qui m'a dégagé * des filets du chasseur. Il me. 
V/. Et des paroles haineuses. * Des filets du chasseur. Gloire au Père. C'est lui.";
benedictus;Estóte misericórdes, sicut et Pater vester miséricors est, dicit Dóminus.;Soyez miséricordieux, comme votre Père est miséricordieux dit le Seigneur;Luc VI 36
preces_matin;preces_IX;;
oratio_laudes;Deus, qui ob animárum medélam castigáre córpora præcepísti, concéde, ut ab ómnibus possímus abstinére peccátis, et corda nostra pietátis tuæ váleant exercére mandáta. Per Dóminum.;Dieu, qui nous enseignes la correction sévère de nos corps pour la guérison de nos âmes, donne-nous de nous abstenir du peché et que nos cœurs obtiennent la force d'exercer les commandements par notre piété.;
HYMNUS_tertiam;hy_Dei fide, qua vívimus;;
HYMNUS_sextam;hy_Qua Christus hora sítiit;;
HYMNUS_nonam;hy_Ternis ter horis númerus;;
ant4;Advenérunt nobis dies pæniténtiæ ad rediménda peccáta, ad salvándas ánimas.;Les jours de la pénitence nous sont advenus, pour l'expiation des péchés, et le salut de nos âmes.;
ant5;"Vivo ego, dicit Dóminus; nolo mortem peccatóris, sed ut magis convertátur et vivat.";Moi je vis, dit le Seigneur. Je ne prends pas plaisir dans la mort du pêcheur, mais à qu'il se convertisse et qu'il vive.;
ant6;Per arma iustítiæ virtútis Dei, commendémus nosmetípsos in multa patiéntia.;Par les armes de la justice et de la force de Dieu, nous rendons recommandables d'une grande constance.                         ;
LB_3;LB_Sap 11, 23-24a;;
RB_3;"V/. Cor mundum crea in me, Deus. 
R/. Et spíritum firmum ínnova in viscéribus meis.";"V/.O Dieu, crée en moi un coeur pur;  
R/. Et renouvelle au dedans de moi un esprit ferme.";
oratio_3;Deus, qui ob animárum medélam castigáre córpora præcepísti, concéde, ut ab ómnibus possímus abstinére peccátis, et corda nostra pietátis tuæ váleant exercére mandáta. Per Dóminum.;Dieu, qui nous enseignes la correction sévère de nos corps pour la guérison de nos âmes, donne-nous de nous abstenir du peché et que nos cœurs obtiennent la force d'exercer les commandements par notre piété.;
LB_6;LB_Ez 18, 23;;
RB_6;"V/. Avérte fáciem tuam a peccátis meis. 
R/. Et omnes iniquitátes meas dele.";"V/. Détourne ta face de mes péchés, 
R/. Efface toutes mes iniquités. ";
oratio_6;Deus, qui ob animárum medélam castigáre córpora præcepísti, concéde, ut ab ómnibus possímus abstinére peccátis, et corda nostra pietátis tuæ váleant exercére mandáta. Per Dóminum.;Dieu, qui nous enseignes la correction sévère de nos corps pour la guérison de nos âmes, donne-nous de nous abstenir du peché et que nos cœurs obtiennent la force d'exercer les commandements par notre piété.;
LB_9;LB_Is 58, 6a. 7;;
RB_9;"V/. Sacrifícium Deo spíritus contribulátus. 
R/. Cor contrítum et humiliátum, Deus, non despícies.";"V/. Les sacrifices de Dieu, c'est un esprit brisé; 
R/. ô Dieu, tu ne dédaignes pas un coeur brisé et contrit. ";
oratio_9;Deus, qui ob animárum medélam castigáre córpora præcepísti, concéde, ut ab ómnibus possímus abstinére peccátis, et corda nostra pietátis tuæ váleant exercére mandáta. Per Dóminum.;Dieu, qui nous enseignes la correction sévère de nos corps pour la guérison de nos âmes, donne-nous de nous abstenir du peché et que nos cœurs obtiennent la force d'exercer les commandements par notre piété.;
HYMNUS_vesperas;hy_Iesu, quadragenáriæ;;
ant7;Speciósus forma præ fíliis hóminum, diffúsa est grátia in lábiis tuis.;Tu es le plus beau des enfants des hommes, la grâce es répandue sur tes lèvres.;
ant8;Ecce Sponsus venit: exíte óbviam ei.;Voici l’époux, sortez à sa rencontre;
ant9;Propósuit Deus in plenitúdine témporum instauráre ómnia in Christo.;Dieu a prévu qu’à la fin des temps, tout serait instauré dans le Christ.;
LB_soir;LB_Rom 12, 1-2;;
RB_soir;"R/. Ego dixi: Dómine, * Miserére mei. Ego. 
V/. Sana ánimam meam, quia peccávi tibi.* Miserére mei. Glória Patri. Ego.";"R/. J'ai dit : Seigneur, * aie pitié de moi. J'ai dit. 
V/.Guéris mon âme, car j'ai péché contre toi.* aie pitié de moi. Gloire au Père. J'ai dit.";
magnificat;"Nolíte iudicáre, et non iudicabímini; in quo enim iudício iudicavéritis, iudicabímini, dicit Dóminus.";Ne jugez point afin de n'être point jugés, car de la façon dont vous jugez, vous serez jugés, dit le Seigneur;Mat VII 1
oratio_vesperas;Deus, qui ob animárum medélam castigáre córpora præcepísti, concéde, ut ab ómnibus possímus abstinére peccátis, et corda nostra pietátis tuæ váleant exercére mandáta. Per Dóminum.;Dieu, qui nous enseignes la correction sévère de nos corps pour la guérison de nos âmes, donne-nous de nous abstenir du peché et que nos cœurs obtiennent la force d'exercer les commandements par notre piété.;
preces_soir;preces_X
