HYMNUS_laudes;hy_Iam, Christe, sol iustítiæ;;
ant1;Exsúrge, psaltérium et cíthara: excitábo auroram.;Levez-vous psaltérion et cithare, que j’éveille l’aurore.;
ant2;Pópulus meus, ait Dóminus, bonis meis adimplébitur.;Mon peuple se rassasiera de mes biens, dit le Seigneur.;
ant3;Magnus Dóminus et laudábilis nimis, in civitáte Dei nostri. ;Le Seigneur est grand, louons-le dans la cité de notre Dieu.;
LB_matin;LB_Cf. 1 Reg 8, 51-53a;;
RB_matin;"R/. Ipse liberábit me * De láqueo venántium. Ipse. 
V/. Et a verbo malígno. * De láqueo venántium. Glória Patri. Ipse.";"R/. C'est lui qui m'a dégagé * des filets du chasseur. C'est lui. 
V/. Et des paroles haineuses. * Des filets du chasseur. Gloire au Père. C'est lui.";
benedictus;Si vos, cum sitis mali, nostis bona data dare fíliis vestris, quanto magis Pater vester de cælo dabit bona peténtibus se!;Si donc vous, tout méchants que vous êtes, vous savez donner de bonnes choses à vos enfants, combien plus votre Père qui est dans les cieux donnera-t-il ce qui est bon à ceux qui lui demandent.;Ma VII 11
preces_matin;preces_X;;
oratio_laudes;Largíre nobis, quæsumus, Dómine, semper spíritum cogitándi quæ recta sunt, prómptius et agéndi, ut, qui sine te esse non póssumus, secúndum te vívere valeámus. Per Dóminum.;Accorde-nous Seigneur, une constante rectitude d'esprit dans la pensée et dans l'action, en sorte que, sans toi incapables d'exister, nous puissions vivre selon toi.;
HYMNUS_tertiam;hy_Dei fide, qua vívimus;;
HYMNUS_sextam;hy_Qua Christus hora sítiit;;
HYMNUS_nonam;hy_Ternis ter horis númerus;;
ant4;Advenérunt nobis dies pæniténtiæ ad rediménda peccáta, ad salvándas ánimas.;Les jours de la pénitence nous sont advenus, pour l'expiation des péchés, et le salut de nos âmes.;
ant5;"Vivo ego, dicit Dóminus; nolo mortem peccatóris, sed ut magis convertátur et vivat.";Moi je vis, dit le Seigneur. Je ne prends pas plaisir dans la mort du pêcheur, mais à qu'il se convertisse et qu'il vive.;
ant6;Per arma iustítiæ virtútis Dei, commendémus nosmetípsos in multa patiéntia.;Par les armes de la justice et de la force de Dieu, nous rendons recommandables d'une grande constance.                         ;
LB_3;LB_Is 55, 6-7;;
RB_3;"V/. Cor mundum crea in me, Deus. 
R/. Et spíritum firmum ínnova in viscéribus meis.";"V/.O Dieu, crée en moi un coeur pur;  
R/. Et renouvelle au dedans de moi un esprit ferme.";
oratio_3;Largíre nobis, quæsumus, Dómine, semper spíritum cogitándi quæ recta sunt, prómptius et agéndi, ut, qui sine te esse non póssumus, secúndum te vívere valeámus. Per Dóminum.;Accorde-nous Seigneur, une constante rectitude d'esprit dans la pensée et dans l'action, en sorte que, sans toi incapables d'exister, nous puissions vivre selon toi.;
LB_6;LB_Deut 30, 2-3a;;
RB_6;"V/. Avérte fáciem tuam a peccátis meis. 
R/. Et omnes iniquitátes meas dele.";"V/. Détourne ta face de mes péchés, 
R/. Efface toutes mes iniquités. ";
oratio_6;Largíre nobis, quæsumus, Dómine, semper spíritum cogitándi quæ recta sunt, prómptius et agéndi, ut, qui sine te esse non póssumus, secúndum te vívere valeámus. Per Dóminum.;Accorde-nous Seigneur, une constante rectitude d'esprit dans la pensée et dans l'action, en sorte que, sans toi incapables d'exister, nous puissions vivre selon toi.;
LB_9;LB_Hebr 10, 35-36;;
RB_9;"V/. Sacrifícium Deo spíritus contribulátus. 
R/. Cor contrítum et humiliátum, Deus, non despícies.";"V/. Les sacrifices de Dieu, c'est un esprit brisé; 
R/. ô Dieu, tu ne dédaignes pas un coeur brisé et contrit. ";
oratio_9;Largíre nobis, quæsumus, Dómine, semper spíritum cogitándi quæ recta sunt, prómptius et agéndi, ut, qui sine te esse non póssumus, secúndum te vívere valeámus. Per Dóminum.;Accorde-nous Seigneur, une constante rectitude d'esprit dans la pensée et dans l'action, en sorte que, sans toi incapables d'exister, nous puissions vivre selon toi.;
HYMNUS_vesperas;hy_Iesu, quadragenáriæ;;
ant7;"Clamávi ad te, et sanásti me, Dómine; in ætérnum confitébor tibi.";J’ai crié vers toi et tu m’as guéri, Seigneur. Pour l’éternité je te louerai.;
ant8;Beátus vir, cui non imputávit Dóminus peccátum.;Heureux celui à qui Dieu n’impute pas son péché.;
ant9;Dedit ei Dóminus potestátem et honórem et regnum, et omnes pópuli ipsi sérvient.;Il fut donné au Seigneur domination, gloire et règne, et tous les peuples, le servirent.;
LB_soir;LB_Iac 4, 7-8.10;;
RB_soir;"R/. Ego dixi: Dómine, * Miserére mei. Ego. 
V/. Sana ánimam meam, quia peccávi tibi.* Miserére mei. Glória Patri. Ego.";"R/. J'ai dit : Seigneur, * aie pitié de moi. J'ai dit. 
V/.Guéris mon âme, car j'ai péché contre toi.* aie pitié de moi. Gloire au Père. J'ai dit.";
magnificat;"Pétite, et dábitur vobis; quærite, et inveniétis; pulsáte, et aperiétur vobis.";"Demandez et l'on vous donnera; cherchez et vous trouverez; frappez et l'on vous ouvrira. ";Mat VII 7
oratio_vesperas;Largíre nobis, quæsumus, Dómine, semper spíritum cogitándi quæ recta sunt, prómptius et agéndi, ut, qui sine te esse non póssumus, secúndum te vívere valeámus. Per Dóminum.;Accorde-nous Seigneur, une constante rectitude d'esprit dans la pensée et dans l'action, en sorte que, sans toi incapables d'exister, nous puissions vivre selon toi.;
preces_soir;preces_XI;;
