HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Emítte lucem tuam et veritátem tuam, Dómine.;Envoie ta lumière et ta vérité, Seigneur.
ant2;Cunctis diébus vitæ nostræ, salvos nos fac, Dómine.;Tous les jours de notre vie, sauve-nous, Seigneur.
ant3;Te decet hymnus, Deus, in Sion.;A toi l'hymne, Dieu, en Sion.
LB_matin;LB_Gen 49, 10;
RB_matin;"R/. Super te, Ierúsalem,* Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus. Glória Patri. Super te.";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi.* se lève le Seigneur. Gloire au Père. Sur toi."
benedictus;Gaude et lætáre, fília Sion, quia ecce vénio, et habitábo in médio tui, dicit Dóminus.;Réjouis-toi, sois dans la joie, fille de Sion, car je viens : j'habiterai au milieu de toi, dit le Seigneur.
oratio_laudes;Deus, qui salutáre tuum cunctis terræ fínibus declarásti, tríbue, quæsumus, ut nativitátis eius glóriam lætánter præstolémur. Per Dóminum.;"Tu as promis, Dieu tout-puissant, d'envoyer un Sauveur à tous les peuples de la terre ; donne-nous la grâce d'attendre dans la joie le jour glorieux de sa naissance."
preces_matin;preces_XIV;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveur de la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut, pleine de grâce ; le Seigneur est avec vous ; vous êtes bénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âme est troublée, et parce que je suis enceinte du Roi, qui n'a pas brisé le sceau de ma virginité.
LB_3;LB_Ier 23, 5;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;Deus, qui salutáre tuum cunctis terræ fínibus declarásti, tríbue, quæsumus, ut nativitátis eius glóriam lætánter præstolémur. Per Dóminum.;"Tu as promis, Dieu tout-puissant, d'envoyer un Sauveur à tous les peuples de la terre ; donne-nous la grâce d'attendre dans la joie le jour glorieux de sa naissance."
LB_6;LB_Ier 23, 6;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour ton peuple,
R/. Visite-nous avec ton secours."
oratio_6;Deus, qui salutáre tuum cunctis terræ fínibus declarásti, tríbue, quæsumus, ut nativitátis eius glóriam lætánter præstolémur. Per Dóminum.;"Tu as promis, Dieu tout-puissant, d'envoyer un Sauveur à tous les peuples de la terre ; donne-nous la grâce d'attendre dans la joie le jour glorieux de sa naissance."
LB_9;LB_Cf. Ez 34, 15-16;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Deus, qui salutáre tuum cunctis terræ fínibus declarásti, tríbue, quæsumus, ut nativitátis eius glóriam lætánter præstolémur. Per Dóminum.;"Tu as promis, Dieu tout-puissant, d'envoyer un Sauveur à tous les peuples de la terre ; donne-nous la grâce d'attendre dans la joie le jour glorieux de sa naissance."
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Non potéstis Deo servíre et mammónæ.;Vous ne pouvez pas servir Dieu et mammon.
ant8;Thesaurizáte vobis thesáuros in cælo, dicit Dóminus.;Amassez pour vous un trésor dans les cieux, dit le Seigneur.
ant9;Dignus est Agnus, qui occísus est, accípere glóriam et honórem.;L'Agneau est digne, lui qui a été immolé, de recevoir gloire et honneur.
LB_soir;LB_Cf. 1 Cor 1, 7b-9;
RB_soir;"R/. Veni ad liberándum nos, * Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus. * Dómine Deus virtútum. Glória Patri. Veni.";"R/. Viens pour nous libérer, * Seigneur Dieu des armées. Viens.
V/. Montre-nous ton visage et nous serons sauvés. * Seigneur Dieu des armées. Gloire au Père. Viens."
magnificat;Vox clamántis in desérto: Paráte viam Dómini, rectas fácite sémitas Dei nostri.;Voix qui crie dans le désert : préparez la route du Seigneur, rendez droits les chemins de notre Dieu.
oratio_vesperas;Deus, qui salutáre tuum cunctis terræ fínibus declarásti, tríbue, quæsumus, ut nativitátis eius glóriam lætánter præstolémur. Per Dóminum.;"Tu as promis, Dieu tout-puissant, d'envoyer un Sauveur à tous les peuples de la terre ; donne-nous la grâce d'attendre dans la joie le jour glorieux de sa naissance."
preces_soir;preces_XV;
