HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Cor contrítum et humiliátum, Deus, non despícies. ;Ne méprise pas, Dieu un cœur contrit et humilié.
ant2;Cum irátus fúeris, Dómine, misericórdiæ recordáberis. ;Quand tu seras en colère, Seigneur, souviens-toi de ta miséricorde.
ant3;Lauda, Ierúsalem, Dóminum. ;Jérusalem, loue le Seigneur.
LB_matin;LB_Ier 30, 21a. 22;
RB_matin;"R/. Super te, Ierúsalem, * Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus.Glória Patri. Super te. ";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi. * se lève leSeigneur. Gloire au Père. Sur toi. "
benedictus;Dícite: Pusillánimes, confortámini: ecce Dóminus Deus noster véniet. ;Dites : Esprits abbattus, prenez courage et ne craignez pas : voici que notre Dieu va venir, et il nous sauvera.
oratio_laudes;Concéde, quæsumus, omnípotens Deus, plebi tuæ advéntum Unigéniti tui cum summa vigilántia exspectáre, ut, sicut ipse dócuit auctor nostræ salútis, accénsis lampádibus in eius occúrsum vigilántes properémus. Per Dóminum. ;Accorde à ton peuple, nous t'en prions, Dieu tout puissant, d'attendre avec la plus grande vigilance la venue de ton Fils unique, pour que, occupés à veiller, comme il nous l'a appris, nous nous hâtions à sa rencontre avec nos lampes allumées. 
preces_matin;preces_VIII;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveurde la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut,pleine de grâce ; le Seigneur est avec vous ; vous êtesbénie entre les femmes."
