HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Acceptábis sacrifícium iustítiæ super altáre tuum, Dómine. ;Accepte le sacrifice de justice sur ton autel, Seigneur. 
ant2;In Dómino iustificábitur et laudábitur omne semen Israel. ;Dans le Seigneur est justifiée et louée toute la descendance d’Israël. 
ant3;Introíte in conspéctu Dómini in exsultatióne. ;Entrez en présence de Dieu dans l’exultation. 
LB_matin;LB_Ier 30, 21a. 22;
RB_matin;"R/. Super te, Ierúsalem, * Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus.Glória Patri. Super te. ";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi. * se lève leSeigneur. Gloire au Père. Sur toi. "
benedictus;Ecce véniet Deus et homo de domo David, sedére in throno, allelúia. ;Voici que vient Dieu, et un homme de la maison de David, pour s'asseoir sur le trône, alléluia. 
oratio_laudes;Excita, quæsumus, Dómine, poténtiam tuam, et veni, ut ab imminéntibus peccatórum nostrórum perículis te mereámur protegénte éripi, te liberánte salvári. Qui vivis ;"Réveille ta puissance, Seigneur, et viens, nous t'en prions ; et, des périls menaçants où nos péchés nous jettent, que ton secours libérateur nous sauve. "
preces_matin;preces_VIII;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveurde la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut,pleine de grâce ; le Seigneur est avec vous ; vous êtesbénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âmeest troublée, et parce que je suis enceinte du Roi, quin'a pas brisé le sceau de ma virginité.
LB_3;LB_Ier 29, 11. 13;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;Excita, quæsumus, Dómine, poténtiam tuam, et veni, ut ab imminéntibus peccatórum nostrórum perículis te mereámur protegénte éripi, te liberánte salvári. Qui vivis ;"Réveille ta puissance, Seigneur, et viens, nous t'en prions ; et, des périls menaçants où nos péchés nous jettent, que ton secours libérateur nous sauve. "
LB_6;LB_Ier 30, 18a;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour tonpeuple,
R/. Visite-nous avec ton secours."
oratio_6;Excita, quæsumus, Dómine, poténtiam tuam, et veni, ut ab imminéntibus peccatórum nostrórum perículis te mereámur protegénte éripi, te liberánte salvári. Qui vivis ;"Réveille ta puissance, Seigneur, et viens, nous t'en prions ; et, des périls menaçants où nos péchés nous jettent, que ton secours libérateur nous sauve. "
LB_9;LB_Bar 3, 5-6a;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Excita, quæsumus, Dómine, poténtiam tuam, et veni, ut ab imminéntibus peccatórum nostrórum perículis te mereámur protegénte éripi, te liberánte salvári. Qui vivis ;"Réveille ta puissance, Seigneur, et viens, nous t'en prions ; et, des périls menaçants où nos péchés nous jettent, que ton secours libérateur nous sauve. "
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Sana, Dómine, ánimam meam, quia peccávi tibi. ;Guéris, Seigneur, mon âme, car j’ai péché contre toi. 
ant8;Dóminus virtútum nobíscum, refúgium nobis Deus Iacob. ;Le Seigneur est notre force, notre refuge est le Dieu de Jacob. 
ant9;Omnes gentes vénient et adorábunt coram te, Dómine. ;Toutes les nations viendront et t’adorereront, Seigneur. 
LB_soir;LB_2 Petr 3, 8b-9;
RB_soir;"R/. Veni ad liberándum nos,* Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus.* Dómine Deus virtútum. Glória Patri. Veni. ";"R/. Viens nous libérer,* Seigneur, Dieu de force. Viens.
V/. Montre-nous ta face, et nous serons sauvés. * Seigneur, Dieu de force. Gloire au Père. Viens. "
magnificat;Ex Ægypto vocávi Fílium meum: véniet ut salvet pópulum suum. ;J'ai rappelé mon fils d'Egypte : il viendra pour sauver son peuple. 
oratio_vesperas;Excita, quæsumus, Dómine, poténtiam tuam, et veni, ut ab imminéntibus peccatórum nostrórum perículis te mereámur protegénte éripi, te liberánte salvári. Qui vivis ;"Réveille ta puissance, Seigneur, et viens, nous t'en prions ; et, des périls menaçants où nos péchés nous jettent, que ton secours libérateur nous sauve. "
preces_soir;preces_IX;
